ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2
372;0,1374;-0,0471;36140,5623;395,6739;451,3976;default broker;10442,5111;0,0000;0,0000;-114,3266;146,5284;-0,0000;COLDPOWER22;-275,0380;0,0000;0,0000;3,0112;-3,8593;-0,0000;VidyutVanika;25973,0891;-2450,2397;-2450,2397;-284,3584;284,3584;55,7237
373;0,1345;-0,0483;27893,1222;570,1529;581,2696;default broker;11994,7835;0,0000;0,0000;-245,1809;254,7419;-0,0000;COLDPOWER22;-272,4880;0,0000;0,0000;5,5698;-5,7870;-0,0000;VidyutVanika;16170,8266;-2062,4553;-2062,4553;-330,5418;330,5418;11,1167
374;0,1410;-0,0374;28421,4771;255,2821;287,3671;default broker;13954,8759;0,0000;0,0000;-125,3429;156,8502;-0,0000;COLDPOWER22;-4866,6830;0,0000;0,0000;43,7126;-54,7006;-0,0000;VidyutVanika;19333,2842;-1821,1131;-1821,1131;-173,6518;173,6518;32,0850
375;0,1375;-0,0367;24081,4099;304,1917;310,9223;default broker;17523,2394;0,0000;0,0000;-221,3502;231,1453;-0,0000;COLDPOWER22;-5198,7440;0,0000;0,0000;65,6695;-68,5755;-0,0000;VidyutVanika;11756,9145;-621,5837;-621,5837;-148,5111;148,5111;6,7305
376;0,1283;-0,0351;10387,3406;257,1579;249,4278;default broker;20184,7798;0,0000;0,0000;-499,7118;499,7118;-0,0000;COLDPOWER22;-4859,5150;0,0000;0,0000;120,3063;-113,0736;-0,0000;VidyutVanika;-4937,9243;-519,1933;-519,1933;122,2475;-122,2475;-7,7301
377;0,1512;-0,0416;22008,5554;432,0161;433,4252;default broker;21659,0445;0,0000;0,0000;-425,1554;427,9288;-0,0000;COLDPOWER22;-5011,7170;0,0000;0,0000;98,3773;-99,0191;-0,0000;VidyutVanika;5361,2279;-1112,5611;-1112,5611;-105,2380;105,2380;1,4091
378;0,1326;-0,0373;4408,6398;145,2076;91,4276;default broker;22711,0293;0,0000;0,0000;-748,0344;748,0344;-0,0000;COLDPOWER22;-5005,3450;0,0000;0,0000;164,8613;-42,7432;-0,0000;VidyutVanika;-13297,0445;-1774,7334;-1774,7334;437,9655;-437,9655;-53,7800
379;0,1472;-0,0390;13969,7747;349,8150;337,6792;default broker;24711,6341;0,0000;0,0000;-618,8002;618,8002;-0,0000;COLDPOWER22;-4607,2920;0,0000;0,0000;115,3705;-107,3656;-0,0000;VidyutVanika;-6134,5674;-1004,9497;-1004,9497;153,6148;-153,6148;-12,1358
380;0,1480;-0,0365;22403,5083;314,9217;324,9979;default broker;25616,3235;0,0000;0,0000;-360,0836;383,1259;-0,0000;COLDPOWER22;-3940,5420;0,0000;0,0000;55,3914;-58,9360;-0,0000;VidyutVanika;727,7268;-1463,9741;-1463,9741;-10,2295;10,2295;10,0761
381;0,1587;-0,0350;22079,1106;285,4998;305,8678;default broker;25415,3828;0,0000;0,0000;-328,6403;328,6403;-0,0000;COLDPOWER22;-3237,6420;0,0000;0,0000;41,8652;-47,8387;-0,0000;VidyutVanika;-98,6302;-3829,1805;-3829,1805;1,2754;-1,2754;20,3680
382;0,1548;-0,0361;13521,1244;305,3604;247,0229;default broker;25270,2733;0,0000;0,0000;-570,7027;570,7027;-0,0000;COLDPOWER22;-3290,7120;0,0000;0,0000;74,3173;-45,9214;-0,0000;VidyutVanika;-8458,4370;-4349,5359;-4349,5359;191,0250;-191,0250;-58,3376
383;0,1557;-0,0353;-4213,8178;673,8545;673,8545;default broker;24656,5054;0,0000;0,0000;3942,9559;3942,9559;-0,0000;COLDPOWER22;-3602,4120;0,0000;0,0000;-576,0813;-576,0813;-0,0000;VidyutVanika;-25267,9112;6868,2320;0,0000;-4040,7291;-4040,7291;-0,0000
384;0,2446;-0,0352;-8151,1093;2059,9670;121,5236;default broker;23725,5172;0,0000;0,0000;5995,9670;5995,9670;-0,0000;COLDPOWER22;-5086,8620;0,0000;0,0000;-1285,5634;-1285,5634;-0,0000;VidyutVanika;-26789,7645;7655,2306;7655,2306;-6770,3706;-6770,3706;1938,4435
385;0,1503;-0,0351;-13466,1335;2205,7328;2205,7328;default broker;21689,5256;0,0000;0,0000;3552,7123;3552,7123;-0,0000;COLDPOWER22;-4868,8520;0,0000;0,0000;-797,5108;-797,5108;-0,0000;VidyutVanika;-30286,8070;4800,1688;0,0000;-4960,9343;-4960,9343;-0,0000
386;0,1631;-0,0360;-22622,9611;4202,6562;0,0000;default broker;20367,1986;0,0000;0,0000;3783,6043;3783,6043;-0,0000;COLDPOWER22;-21168,4120;0,0000;0,0000;-3932,4453;-3932,4453;-0,0000;VidyutVanika;-21821,7478;4212,4512;0,0000;-4053,8152;-4053,8152;-0,0000
387;0,2041;-0,0353;-31427,8725;7401,2114;6320,9060;default broker;19157,8531;0,0000;0,0000;4511,6424;4511,6424;-0,0000;COLDPOWER22;-23192,5720;0,0000;0,0000;-5461,8119;-5461,8119;-0,0000;VidyutVanika;-27393,1537;4110,5057;4110,5057;-6451,0419;-6451,0419;1080,3054
388;0,1518;-0,0363;-29468,0202;5340,2760;0,0000;default broker;17817,4066;0,0000;0,0000;3228,9196;3228,9196;-0,0000;COLDPOWER22;-24309,3730;0,0000;0,0000;-4405,4117;-4405,4117;-0,0000;VidyutVanika;-22976,0538;2429,7758;0,0000;-4163,7839;-4163,7839;-0,0000
389;0,2223;-0,0365;-20957,6891;5099,1571;4028,1289;default broker;17329,7714;0,0000;0,0000;4216,4586;4216,4586;-0,0000;COLDPOWER22;-27647,9250;0,0000;0,0000;-6726,9398;-6726,9398;-0,0000;VidyutVanika;-10639,5356;4116,9972;4116,9972;-2588,6758;-2588,6758;1071,0282
390;0,1602;-0,0356;-20312,9288;3666,5456;0,0000;default broker;15002,5183;0,0000;0,0000;2708,0004;2708,0004;-0,0000;COLDPOWER22;-25628,6270;0,0000;0,0000;-4626,0454;-4626,0454;-0,0000;VidyutVanika;-9686,8201;3486,3152;0,0000;-1748,5006;-1748,5006;-0,0000
391;0,1536;-0,0491;-7341,3514;1181,5837;1181,5837;default broker;12186,8424;0,0000;0,0000;1961,4611;1961,4611;-0,0000;COLDPOWER22;-33917,0190;0,0000;0,0000;-5458,9130;-5458,9130;-0,0000;VidyutVanika;14388,8252;5640,3878;0,0000;2315,8682;2315,8682;-0,0000
392;0,1938;-0,0526;12251,6550;493,8122;304,4031;default broker;9969,3237;0,0000;0,0000;-401,8211;93,5720;-0,0000;COLDPOWER22;-34520,7212;0,0000;0,0000;1391,3836;-324,0114;-0,0000;VidyutVanika;36803,0525;-5624,0882;-5624,0882;-1483,3747;1483,3747;-189,4091
393;0,2383;-0,0377;13788,3073;330,2092;245,7858;default broker;9463,1078;0,0000;0,0000;-226,6272;110,7454;-0,0000;COLDPOWER22;-31640,4840;0,0000;0,0000;757,7419;-370,2839;-0,0000;VidyutVanika;35965,6835;-5418,9866;-5418,9866;-861,3239;861,3239;-84,4233
394;0,1979;-0,0361;16787,8502;323,9990;287,2791;default broker;9194,5661;0,0000;0,0000;-177,4515;137,2292;-0,0000;COLDPOWER22;-29009,8100;0,0000;0,0000;559,8780;-432,9724;-0,0000;VidyutVanika;36603,0941;-4932,5857;-4932,5857;-706,4255;706,4255;-36,7199
395;0,2282;-0,0357;18983,8829;316,5794;299,6848;default broker;9895,1714;0,0000;0,0000;-165,0141;147,4017;-0,0000;COLDPOWER22;-27773,6340;0,0000;0,0000;463,1592;-413,7251;-0,0000;VidyutVanika;36862,3455;-5423,0203;-5423,0203;-614,7246;614,7246;-16,8946
396;0,1542;-0,0497;29933,0529;591,1930;616,8513;default broker;10515,3055;0,0000;0,0000;-207,6826;225,7099;-0,0000;COLDPOWER22;-27406,8952;0,0000;0,0000;541,3001;-588,2860;-0,0000;VidyutVanika;46824,6426;-4578,7133;-4578,7133;-924,8104;924,8104;25,6583
397;0,1472;-0,0504;4890,1477;222,5651;130,3441;default broker;11712,5245;0,0000;0,0000;-533,0717;91,3096;-0,0000;COLDPOWER22;-29769,0810;0,0000;0,0000;1354,8792;-232,0766;-0,0000;VidyutVanika;22946,7042;-2155,7750;-2155,7750;-1044,3726;1044,3726;-92,2210
398;0,1590;-0,0415;2929,6948;112,9777;48,7752;default broker;13319,9626;0,0000;0,0000;-513,6571;-70,1405;-0,0000;COLDPOWER22;-26532,7689;0,0000;0,0000;1023,1819;139,7168;-0,0000;VidyutVanika;16142,5012;-1718,8448;-1718,8448;-622,5025;622,5025;-64,2025
399;0,2436;-0,0352;3401,0965;108,1588;22,5523;default broker;16831,1586;0,0000;0,0000;-535,2505;-312,0394;-0,0000;COLDPOWER22;-29424,4703;0,0000;0,0000;935,7325;545,5118;-0,0000;VidyutVanika;15994,4082;-2748,3437;-2748,3437;-508,6409;508,6409;-85,6066
400;0,1428;-0,0367;-5306,1604;785,8894;785,8894;default broker;19088,7015;0,0000;0,0000;2827,2059;2827,2059;-0,0000;COLDPOWER22;-21549,9145;0,0000;0,0000;-3191,7334;-3191,7334;-0,0000;VidyutVanika;-2844,9474;9572,8806;0,0000;-421,3619;-421,3619;-0,0000
401;0,1613;-0,0525;-6045,5047;1011,7163;1011,7163;default broker;20536,8527;0,0000;0,0000;3436,8459;3436,8459;-0,0000;COLDPOWER22;-25682,7309;0,0000;0,0000;-4298,0095;-4298,0095;-0,0000;VidyutVanika;-899,6265;9948,7330;0,0000;-150,5527;-150,5527;-0,0000
402;0,1778;-0,0354;-14163,8779;2719,2773;0,0000;default broker;21878,3585;0,0000;0,0000;4200,3556;4200,3556;-0,0000;COLDPOWER22;-29542,9210;0,0000;0,0000;-5671,8502;-5671,8502;-0,0000;VidyutVanika;-6499,3154;9523,2259;0,0000;-1247,7826;-1247,7826;-0,0000
403;0,2581;-0,0360;-7153,4435;1897,6617;0,0000;default broker;23037,2866;0,0000;0,0000;6111,3191;6111,3191;-0,0000;COLDPOWER22;-21333,0465;0,0000;0,0000;-5659,2192;-5659,2192;-0,0000;VidyutVanika;-8857,6836;11385,6298;7153,4435;-2349,7616;-2349,7616;1897,6617
404;0,2465;-0,0352;-13123,6626;3407,7910;285,9845;default broker;24418,6560;0,0000;0,0000;6340,7357;6340,7357;-0,0000;COLDPOWER22;-20633,5120;0,0000;0,0000;-5357,8561;-5357,8561;-0,0000;VidyutVanika;-16908,8066;11969,0962;11969,0962;-4390,6705;-4390,6705;3121,8065
405;0,2411;-0,0354;-16660,2487;4293,8709;1727,2454;default broker;24016,1115;0,0000;0,0000;6189,7085;6189,7085;-0,0000;COLDPOWER22;-20721,2003;0,0000;0,0000;-5340,5061;-5340,5061;-0,0000;VidyutVanika;-19955,1600;9696,5314;9696,5314;-5143,0734;-5143,0734;2566,6255
406;0,1994;-0,0389;-27441,4029;6225,3841;4000,6351;default broker;23872,5164;0,0000;0,0000;5415,7430;5415,7430;-0,0000;COLDPOWER22;-22587,4760;0,0000;0,0000;-5124,2174;-5124,2174;-0,0000;VidyutVanika;-28726,4433;9072,0795;9072,0795;-6516,9097;-6516,9097;2224,7490
407;0,2378;-0,0360;-25406,3911;6688,2831;4070,1743;default broker;23338,7277;0,0000;0,0000;6143,9666;6143,9666;-0,0000;COLDPOWER22;-14932,5109;0,0000;0,0000;-3931,0133;-3931,0133;-0,0000;VidyutVanika;-33812,6079;9374,3595;9374,3595;-8901,2365;-8901,2365;2618,1089
408;0,1596;-0,0355;-29111,1233;5493,6463;0,0000;default broker;22082,7994;0,0000;0,0000;4167,3105;4167,3105;-0,0000;COLDPOWER22;-15103,9940;0,0000;0,0000;-2850,3194;-2850,3194;-0,0000;VidyutVanika;-36089,9287;10491,1605;0,0000;-6810,6373;-6810,6373;-0,0000
409;0,2907;-0,0699;-26115,8366;8275,1750;5940,6951;default broker;19630,1595;0,0000;0,0000;6220,0958;6220,0958;-0,0000;COLDPOWER22;-17585,2540;0,0000;0,0000;-5572,1383;-5572,1383;-0,0000;VidyutVanika;-28160,7421;6947,1763;6947,1763;-8923,1324;-8923,1324;2334,4799
410;0,2198;-0,0554;-32356,7401;8158,6051;6717,2945;default broker;18437,3886;0,0000;0,0000;4648,9038;4648,9038;-0,0000;COLDPOWER22;118,8509;0,0000;0,0000;29,9677;29,9677;-0,0000;VidyutVanika;-50912,9796;5159,6532;5159,6532;-12837,4767;-12837,4767;1441,3107
411;0,2257;-0,0519;-11797,6052;2801,9997;1993,8769;default broker;17395,1818;0,0000;0,0000;4131,4566;4131,4566;-0,0000;COLDPOWER22;-2059,6634;0,0000;0,0000;-489,1820;-489,1820;-0,0000;VidyutVanika;-27133,1235;3284,8034;3284,8034;-6444,2742;-6444,2742;808,1227
412;0,2136;-0,0498;-13896,7549;3161,1679;2574,4513;default broker;16278,5924;0,0000;0,0000;3702,9769;3702,9769;-0,0000;COLDPOWER22;-2871,0824;0,0000;0,0000;-653,1002;-653,1002;-0,0000;VidyutVanika;-27304,2649;2455,7414;2455,7414;-6211,0446;-6211,0446;586,7166
413;0,1797;-0,0523;227,6952;11,8665;-0,0000;default broker;15514,5638;0,0000;0,0000;-808,5511;808,5511;-0,0000;COLDPOWER22;-3911,2861;0,0000;0,0000;203,8391;203,8391;-0,0000;VidyutVanika;-11375,5825;-7406,3177;-227,6952;592,8455;-592,8455;-11,8665
414;0,4541;-0,0811;-13370,4595;6250,5490;4519,6428;default broker;13149,2069;0,0000;0,0000;6147,1157;6147,1157;-0,0000;COLDPOWER22;-3694,7160;0,0000;0,0000;-1727,2408;-1727,2408;-0,0000;VidyutVanika;-22824,9505;3626,9627;3626,9627;-10670,4239;-10670,4239;1730,9062
415;0,2785;-0,0654;7387,8190;428,8763;107,1043;default broker;11397,0549;0,0000;0,0000;-661,6198;-331,1640;-0,0000;COLDPOWER22;-5123,0290;0,0000;0,0000;297,4012;148,8597;-0,0000;VidyutVanika;1113,7931;-5708,0102;-5708,0102;-64,6577;64,6577;-321,7720
416;0,3022;-0,0630;18036,0514;811,3874;633,1667;default broker;9536,1736;0,0000;0,0000;-429,0036;240,5428;-0,0000;COLDPOWER22;-5185,9280;0,0000;0,0000;233,2992;-130,8112;-0,0000;VidyutVanika;13685,8058;-5493,1656;-5493,1656;-615,6830;615,6830;-178,2208
417;0,3812;-0,0756;42948,2225;1403,4748;1429,8017;default broker;8858,0690;0,0000;0,0000;-289,4666;300,3265;-0,0000;COLDPOWER22;-4220,0710;0,0000;0,0000;137,9047;-143,0785;-0,0000;VidyutVanika;38310,2245;-4932,7815;-4932,7815;-1251,9129;1251,9129;26,3270
418;0,4090;-0,0809;33100,5727;1583,3261;1506,7995;default broker;8739,8508;0,0000;0,0000;-418,0602;377,6482;-0,0000;COLDPOWER22;-3521,8090;0,0000;0,0000;168,4615;-152,1771;-0,0000;VidyutVanika;27882,5309;-4069,8883;-4069,8883;-1333,7273;1333,7273;-76,5266
419;0,2489;-0,0543;52545,7016;90,2858;291,0789;default broker;9280,9235;0,0000;0,0000;-15,9468;86,8773;-0,0000;COLDPOWER22;11990,2406;0,0000;0,0000;-20,6020;112,2387;-0,0000;VidyutVanika;31274,5376;-4317,1757;-4317,1757;-53,7369;53,7369;200,7931
420;0,1556;-0,0519;47585,2594;204,5797;392,8751;default broker;10087,8729;0,0000;0,0000;-43,3700;123,2057;-0,0000;COLDPOWER22;-3526,7330;0,0000;0,0000;15,1622;-43,0729;-0,0000;VidyutVanika;41024,1195;-4906,0877;-4906,0877;-176,3719;176,3719;188,2954
421;0,2569;-0,0566;24956,0684;790,4682;753,0747;default broker;12303,7573;0,0000;0,0000;-389,7140;352,8427;-0,0000;COLDPOWER22;-4356,7340;0,0000;0,0000;137,9969;-124,9409;-0,0000;VidyutVanika;17009,0452;-3617,7641;-3617,7641;-538,7511;538,7511;-37,3935
422;0,1971;-0,0538;24926,7792;718,5889;684,7028;default broker;13801,7164;0,0000;0,0000;-397,8757;360,3509;-0,0000;COLDPOWER22;-5106,6420;0,0000;0,0000;147,2142;-133,3300;-0,0000;VidyutVanika;16231,7048;-4188,6959;-4188,6959;-467,9274;467,9274;-33,8862
423;0,2111;-0,0541;20356,0264;686,0771;652,0754;default broker;17096,1937;0,0000;0,0000;-576,2081;519,0948;-0,0000;COLDPOWER22;-5255,8780;0,0000;0,0000;177,1435;-159,5852;-0,0000;VidyutVanika;8515,7107;-2188,5221;-2188,5221;-287,0125;287,0125;-34,0017
424;0,2283;-0,0377;4240,9603;141,7426;117,8463;default broker;20131,4920;0,0000;0,0000;-672,8406;672,8406;-0,0000;COLDPOWER22;-4419,9590;0,0000;0,0000;147,7252;-97,9153;-0,0000;VidyutVanika;-11470,5726;-797,1171;-797,1171;383,3729;-383,3729;-23,8963
425;0,2271;-0,0535;15403,7866;587,0281;577,3413;default broker;21758,2710;0,0000;0,0000;-829,1934;829,1934;-0,0000;COLDPOWER22;-4905,5640;0,0000;0,0000;186,9478;-180,7779;-0,0000;VidyutVanika;-1448,9204;-418,9022;-418,9022;55,2174;-55,2174;-9,6869
426;0,3662;-0,0690;10539,5721;616,5565;586,3592;default broker;23674,0400;0,0000;0,0000;-1384,9124;1384,9124;-0,0000;COLDPOWER22;-4322,2030;0,0000;0,0000;252,8454;-228,0780;-0,0000;VidyutVanika;-8812,2649;-621,5837;-621,5837;515,5104;-515,5104;-30,1973
427;0,3621;-0,0735;18147,2971;1004,0122;989,9584;default broker;26029,7690;0,0000;0,0000;-1440,1156;1440,1156;-0,0000;COLDPOWER22;-4086,7020;0,0000;0,0000;226,0997;-219,7700;-0,0000;VidyutVanika;-3795,7699;-374,2425;-374,2425;210,0037;-210,0037;-14,0538
428;0,4820;-0,0968;13312,3531;1111,3969;1067,3917;default broker;27500,2109;0,0000;0,0000;-2295,8864;2295,8864;-0,0000;COLDPOWER22;-3670,6420;0,0000;0,0000;306,4477;-282,1804;-0,0000;VidyutVanika;-10517,2158;-621,5837;-621,5837;878,0417;-878,0417;-44,0052
429;0,3808;-0,0779;11992,4122;790,9116;770,4485;default broker;26894,1158;0,0000;0,0000;-1773,6938;1773,6938;-0,0000;COLDPOWER22;-3125,1570;0,0000;0,0000;206,1072;-195,4421;-0,0000;VidyutVanika;-11776,5466;-376,6072;-376,6072;776,6750;-776,6750;-20,4630
430;0,2590;-0,0375;2947,3171;101,9381;87,7512;default broker;26567,5846;0,0000;0,0000;-918,8864;918,8864;-0,0000;COLDPOWER22;-2576,0870;0,0000;0,0000;89,0985;-64,2985;-0,0000;VidyutVanika;-21044,1804;-442,2122;-442,2122;727,8498;-727,8498;-14,1869
431;0,3643;-0,0792;-8837,7896;3297,7378;0,0000;default broker;25668,1682;0,0000;0,0000;9577,8348;9577,8348;-0,0000;COLDPOWER22;-2140,4620;0,0000;0,0000;-798,6932;-798,6932;-0,0000;VidyutVanika;-32365,4958;11319,5021;8837,7896;-12076,8795;-12076,8795;3297,7378
432;0,3933;-0,0760;-21296,4569;8828,5283;3677,0296;default broker;24892,1579;0,0000;0,0000;10319,1401;10319,1401;-0,0000;COLDPOWER22;-2443,7920;0,0000;0,0000;-1013,0834;-1013,0834;-0,0000;VidyutVanika;-43744,8228;12158,6016;12158,6016;-18134,5850;-18134,5850;5151,4987
433;0,2713;-0,0360;-18635,8550;5403,2573;2726,7451;default broker;22275,8949;0,0000;0,0000;6458,6461;6458,6461;-0,0000;COLDPOWER22;-2585,0120;0,0000;0,0000;-749,4953;-749,4953;-0,0000;VidyutVanika;-38326,7379;8932,3579;8932,3579;-11112,4082;-11112,4082;2676,5122
434;0,3716;-0,0713;-19212,6697;7508,3492;7092,9082;default broker;20460,3601;0,0000;0,0000;7995,9490;7995,9490;-0,0000;COLDPOWER22;-710,3720;0,0000;0,0000;-277,6148;-277,6148;-0,0000;VidyutVanika;-38962,6579;1015,7510;1015,7510;-15226,6835;-15226,6835;415,4410
435;0,4452;-0,0750;-26394,6539;12448,6804;12204,2585;default broker;18538,6001;0,0000;0,0000;8743,4793;8743,4793;-0,0000;COLDPOWER22;-933,5520;0,0000;0,0000;-440,2971;-440,2971;-0,0000;VidyutVanika;-43999,7020;491,2611;491,2611;-20751,8626;-20751,8626;244,4220
436;0,3376;-0,0723;-18659,2081;6646,6662;6595,0296;default broker;16742,0724;0,0000;0,0000;5963,7562;5963,7562;-0,0000;COLDPOWER22;-1074,4520;0,0000;0,0000;-382,7346;-382,7346;-0,0000;VidyutVanika;-34326,8286;137,7951;137,7951;-12227,6879;-12227,6879;51,6367
437;0,3736;-0,0781;-6600,9848;2509,7137;2340,9927;default broker;15817,2079;0,0000;0,0000;6013,7487;6013,7487;-0,0000;COLDPOWER22;-931,9020;0,0000;0,0000;-354,3119;-354,3119;-0,0000;VidyutVanika;-21486,2907;436,6856;436,6856;-8169,1506;-8169,1506;168,7210
438;0,4163;-0,0852;-9976,6446;4252,7341;4022,8389;default broker;13480,5221;0,0000;0,0000;5746,3285;5746,3285;-0,0000;COLDPOWER22;-1103,7260;0,0000;0,0000;-470,4842;-470,4842;-0,0000;VidyutVanika;-22353,4407;527,6240;527,6240;-9528,5784;-9528,5784;229,8953
439;0,5481;-0,1112;21377,1826;1920,3440;1200,3156;default broker;12067,1191;0,0000;0,0000;-1084,0072;547,6040;-0,0000;COLDPOWER22;-1635,1370;0,0000;0,0000;146,8868;-74,2023;-0,0000;VidyutVanika;10945,2005;-2113,8490;-2113,8490;-983,2236;601,2245;-68,1183
440;0,6845;-0,1289;39958,9511;3554,4184;1259,7255;default broker;10051,5044;0,0000;0,0000;-894,0989;205,0098;-0,0000;COLDPOWER22;-2531,8010;0,0000;0,0000;225,2081;-51,6385;-0,0000;VidyutVanika;32439,2476;-2233,1933;-2233,1933;-2885,5277;535,8545;215,9302
441;0,5470;-0,1151;45876,4677;3173,7218;2425,2988;default broker;9535,5265;0,0000;0,0000;-659,6652;424,5926;-0,0000;COLDPOWER22;-2322,8650;0,0000;0,0000;160,6952;-103,4312;-0,0000;VidyutVanika;38663,8061;-1512,3287;-1512,3287;-2674,7518;1481,2756;307,4782
442;0,3713;-0,0781;44549,9647;1496,2530;1507,1423;default broker;9091,3440;0,0000;0,0000;-305,3414;309,7858;-0,0000;COLDPOWER22;-2069,6200;0,0000;0,0000;69,5102;-70,5219;-0,0000;VidyutVanika;37528,2407;-1104,4438;-1104,4438;-1260,4217;1260,4217;10,8893
443;0,4423;-0,0915;50808,9629;2069,8462;2078,9938;default broker;9646,7269;0,0000;0,0000;-392,9866;396,4602;-0,0000;COLDPOWER22;-2047,8110;0,0000;0,0000;83,4233;-84,1607;-0,0000;VidyutVanika;43210,0471;-1009,4871;-1009,4871;-1760,2830;1760,2830;9,1476
444;0,4212;-0,0921;45509,8192;2119,3925;2117,7154;default broker;10964,3994;0,0000;0,0000;-510,6121;509,8040;-0,0000;COLDPOWER22;-2086,1800;0,0000;0,0000;97,1534;-96,9997;-0,0000;VidyutVanika;36631,5998;-869,2543;-869,2543;-1705,9338;1705,9338;-1,6772
445;0,4153;-0,1027;30306,6293;2193,1448;2163,5910;default broker;12355,3398;0,0000;0,0000;-894,0964;869,9996;-0,0000;COLDPOWER22;-2161,8050;0,0000;0,0000;156,4394;-152,2232;-0,0000;VidyutVanika;20113,0945;-691,3184;-691,3184;-1455,4878;1455,4878;-29,5538
446;0,1970;-0,0531;34292,1910;646,4107;659,8278;default broker;14138,1089;0,0000;0,0000;-266,5045;277,5678;-0,0000;COLDPOWER22;11806,4274;0,0000;0,0000;-222,5521;231,7909;-0,0000;VidyutVanika;8347,6547;-924,1736;-924,1736;-157,3540;157,3540;13,4171
447;0,3364;-0,0760;-5462,2907;1867,3558;1121,2854;default broker;17920,9371;0,0000;0,0000;6126,5078;6126,5078;-0,0000;COLDPOWER22;-1988,7360;0,0000;0,0000;-679,8755;-679,8755;-0,0000;VidyutVanika;-21394,4918;2161,4960;2161,4960;-7313,9881;-7313,9881;746,0705
448;0,3428;-0,0738;12370,6404;760,5362;667,8378;default broker;20548,2588;0,0000;0,0000;-1263,2891;1263,2891;-0,0000;COLDPOWER22;-1687,3810;0,0000;0,0000;103,7387;-78,4502;-0,0000;VidyutVanika;-6490,2375;-1820,1626;-1820,1626;399,0142;-399,0142;-92,6984
