ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2
374;0,1312;-0,0491;28440,4720;587,5130;591,9644;default broker;5441,2851;0,0000;0,0000;-112,4041;114,1074;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;22999,1869;-621,5837;-621,5837;-475,1089;475,1089;4,4513
375;0,1341;-0,0466;8856,8181;334,4650;316,1107;default broker;6007,3137;0,0000;0,0000;-226,8576;201,9592;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;2849,5043;-621,5837;-621,5837;-107,6074;107,6074;-18,3543
376;0,1466;-0,0491;-3584,8524;538,2336;538,2336;default broker;6408,4332;0,0000;0,0000;962,1690;962,1690;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-9993,2857;1200,0000;0,0000;-1500,4026;-1500,4026;-0,0000
377;0,1497;-0,0491;-2298,7080;349,4350;349,4350;default broker;5854,6453;0,0000;0,0000;889,9861;889,9861;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-8153,3533;1200,0000;0,0000;-1239,4211;-1239,4211;-0,0000
378;0,1526;-0,0516;-2900,1412;450,9145;450,9145;default broker;5199,6830;0,0000;0,0000;808,4477;808,4477;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-8099,8242;1200,0000;0,0000;-1259,3622;-1259,3622;-0,0000
379;0,1502;-0,0352;1684,5243;56,4334;36,1294;default broker;5087,6845;0,0000;0,0000;-170,4430;170,4430;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-3403,1602;-625,8468;-625,8468;114,0096;-114,0096;-20,3040
380;0,1452;-0,0491;-7137,2285;1087,3237;1087,3237;default broker;5008,0114;0,0000;0,0000;762,9474;762,9474;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;-1920,5846;0,0000;0,0000;-292,5922;-292,5922;-0,0000;VidyutVanika;-10224,6553;1200,0000;0,0000;-1557,6789;-1557,6789;-0,0000
381;0,1413;-0,0492;-8480,7741;1270,0131;1270,0131;default broker;4757,1981;0,0000;0,0000;712,4000;712,4000;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;-1675,3136;0,0000;0,0000;-250,8816;-250,8816;-0,0000;VidyutVanika;-11562,6587;1200,0000;0,0000;-1731,5315;-1731,5315;-0,0000
382;0,1469;-0,0491;-18354,5027;3033,2370;3033,2370;default broker;4583,3921;0,0000;0,0000;757,4444;757,4444;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;-1670,8719;0,0000;0,0000;-276,1257;-276,1257;-0,0000;VidyutVanika;-21267,0229;1200,0000;0,0000;-3514,5556;-3514,5556;-0,0000
383;0,1395;-0,0491;-28384,9011;4764,7748;0,0000;default broker;4525,0357;0,0000;0,0000;759,5861;759,5861;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;-1832,6245;0,0000;0,0000;-307,6299;-307,6299;-0,0000;VidyutVanika;-31077,3122;1200,0000;0,0000;-5216,7310;-5216,7310;-0,0000
384;0,1405;-0,0491;-29840,7206;5084,5551;0,0000;default broker;4395,0550;0,0000;0,0000;748,8726;748,8726;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;-1548,9170;0,0000;0,0000;-263,9197;-263,9197;-0,0000;VidyutVanika;-32686,8585;1200,0000;0,0000;-5569,5080;-5569,5080;-0,0000
385;0,1338;-0,0487;-18744,8050;2860,2785;2860,2785;default broker;3646,3810;0,0000;0,0000;556,4030;556,4030;-0,0000;COLDPOWER22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;-1249,0826;0,0000;0,0000;-190,5981;-190,5981;-0,0000;VidyutVanika;-21142,1034;1200,0000;0,0000;-3226,0834;-3226,0834;-0,0000
386;0,1330;-0,0490;-23984,4568;3764,9161;3764,9161;default broker;3709,7738;0,0000;0,0000;582,3349;582,3349;-0,0000;COLDPOWER22;-2,9990;0,0000;0,0000;-0,4708;-0,4708;-0,0000;IS3;-14715,4793;0,0000;0,0000;-2309,9353;-2309,9353;-0,0000;VidyutVanika;-12975,7523;1200,0000;0,0000;-2036,8449;-2036,8449;-0,0000
387;0,1235;-0,0474;-23244,8716;3410,9515;3410,9515;default broker;3789,3111;0,0000;0,0000;556,0434;556,0434;-0,0000;COLDPOWER22;5031,1910;0,0000;0,0000;738,2768;738,2768;-0,0000;IS3;-13294,9403;0,0000;0,0000;-1950,8990;-1950,8990;-0,0000;VidyutVanika;-18770,4334;1200,0000;0,0000;-2754,3726;-2754,3726;-0,0000
388;0,1375;-0,0485;-25335,7536;4125,3361;4125,3361;default broker;3735,8923;0,0000;0,0000;608,3029;608,3029;-0,0000;COLDPOWER22;5128,3810;0,0000;0,0000;835,0372;835,0372;-0,0000;IS3;-11917,5737;0,0000;0,0000;-1940,4987;-1940,4987;-0,0000;VidyutVanika;-22282,4532;1200,0000;0,0000;-3628,1774;-3628,1774;-0,0000
389;0,1362;-0,0468;-14472,3345;2180,4682;2180,4682;default broker;4563,5202;0,0000;0,0000;687,5608;687,5608;-0,0000;COLDPOWER22;-2,9990;0,0000;0,0000;-0,4518;-0,4518;-0,0000;IS3;-11146,0771;0,0000;0,0000;-1679,3190;-1679,3190;-0,0000;VidyutVanika;-7886,7785;1200,0000;0,0000;-1188,2582;-1188,2582;-0,0000
390;0,1730;-0,0497;-13801,2121;2577,9541;0,0000;default broker;4632,4430;0,0000;0,0000;865,3027;865,3027;-0,0000;COLDPOWER22;5137,8510;0,0000;0,0000;959,7088;959,7088;-0,0000;IS3;-7571,7522;0,0000;0,0000;-1414,3417;-1414,3417;-0,0000;VidyutVanika;-15999,7538;1200,0000;0,0000;-2988,6238;-2988,6238;-0,0000
391;0,1481;-0,0488;12806,6875;461,1470;460,7511;default broker;4853,5154;0,0000;0,0000;-174,7668;174,4667;-0,0000;COLDPOWER22;5262,1630;0,0000;0,0000;-189,4815;189,1562;-0,0000;IS3;-4441,1555;0,0000;0,0000;159,9185;-159,6438;-0,0000;VidyutVanika;7132,1646;-17,0526;-17,0526;-256,8171;256,8171;-0,3959
392;0,1429;-0,0490;29743,1008;573,4771;573,4920;default broker;5049,5604;0,0000;0,0000;-97,3606;97,3657;-0,0000;COLDPOWER22;588,6500;0,0000;0,0000;-11,3498;11,3504;-0,0000;IS3;-1724,3376;0,0000;0,0000;33,2470;-33,2487;-0,0000;VidyutVanika;25829,2279;-1,4211;-1,4211;-498,0137;498,0137;0,0149
393;0,2084;-0,0512;18599,4295;606,1990;606,1791;default broker;4998,4264;0,0000;0,0000;-162,9104;162,8997;-0,0000;COLDPOWER22;5546,2320;0,0000;0,0000;-180,7647;180,7528;-0,0000;IS3;-2018,4001;0,0000;0,0000;65,7844;-65,7801;-0,0000;VidyutVanika;10073,1711;-1,4211;-1,4211;-328,3083;328,3083;-0,0199
394;0,1422;-0,0487;12186,2144;444,4597;444,4252;default broker;5060,6264;0,0000;0,0000;-184,5729;184,5442;-0,0000;COLDPOWER22;5614,1901;0,0000;0,0000;-204,7626;204,7308;-0,0000;IS3;-2024,9818;0,0000;0,0000;73,8558;-73,8443;-0,0000;VidyutVanika;3536,3797;-1,4211;-1,4211;-128,9800;128,9800;-0,0345
395;0,2124;-0,0540;3150,8610;160,2187;160,1509;default broker;4927,1993;0,0000;0,0000;-250,5440;250,3320;-0,0000;COLDPOWER22;693,8497;0,0000;0,0000;-35,2817;35,2518;-0,0000;IS3;-2677,6926;0,0000;0,0000;136,1584;-136,0432;-0,0000;VidyutVanika;207,5046;-1,4211;-1,4211;-10,5514;10,5514;-0,0678
396;0,1508;-0,0500;-408,8206;61,8295;61,8295;default broker;5157,1223;0,0000;0,0000;779,9563;779,9563;-0,0000;COLDPOWER22;690,7110;0,0000;0,0000;104,4622;104,4622;-0,0000;IS3;-3491,7504;0,0000;0,0000;-528,0877;-528,0877;-0,0000;VidyutVanika;-2764,9036;1200,0000;0,0000;-418,1603;-418,1603;-0,0000
397;0,1513;-0,0384;-8206,9577;1309,2858;1309,2858;default broker;5463,3317;0,0000;0,0000;871,5852;871,5852;-0,0000;COLDPOWER22;5566,9157;0,0000;0,0000;888,1103;888,1103;-0,0000;IS3;-4970,3336;0,0000;0,0000;-792,9354;-792,9354;-0,0000;VidyutVanika;-14266,8715;1200,0000;0,0000;-2276,0459;-2276,0459;-0,0000
398;0,1324;-0,0365;9618,3811;258,1984;258,1249;default broker;5544,9161;0,0000;0,0000;-148,8492;148,7645;-0,0000;COLDPOWER22;5524,0777;0,0000;0,0000;-148,2898;148,2054;-0,0000;IS3;-5522,1767;0,0000;0,0000;148,2388;-148,1544;-0,0000;VidyutVanika;4071,5640;-4,2632;-4,2632;-109,2981;109,2981;-0,0735
399;0,1430;-0,0358;-2511,6370;365,4790;365,4790;default broker;6161,7560;0,0000;0,0000;896,6235;896,6235;-0,0000;COLDPOWER22;9326,6562;0,0000;0,0000;1357,1616;1357,1616;-0,0000;IS3;-8724,2693;0,0000;0,0000;-1269,5058;-1269,5058;-0,0000;VidyutVanika;-9275,7799;1200,0000;0,0000;-1349,7584;-1349,7584;-0,0000
400;0,1479;-0,0491;-4961,6462;758,3751;758,3751;default broker;6521,0107;0,0000;0,0000;996,7200;996,7200;-0,0000;COLDPOWER22;7526,1906;0,0000;0,0000;1150,3593;1150,3593;-0,0000;IS3;-10291,8687;0,0000;0,0000;-1573,0862;-1573,0862;-0,0000;VidyutVanika;-8716,9787;1200,0000;0,0000;-1332,3682;-1332,3682;-0,0000
401;0,1417;-0,0382;1037,5579;38,5905;38,4364;default broker;6159,3426;0,0000;0,0000;-229,0883;229,0883;-0,0000;COLDPOWER22;8984,0275;0,0000;0,0000;-334,1486;334,1486;-0,0000;IS3;-12226,7573;0,0000;0,0000;454,7574;-451,1242;-0,0000;VidyutVanika;-1879,0548;-4,2632;-4,2632;69,8889;-69,8889;-0,1542
402;0,2262;-0,0424;1028,0494;42,5526;42,4952;default broker;5632,9659;0,0000;0,0000;-233,1572;232,5286;-0,0000;COLDPOWER22;10045,4350;0,0000;0,0000;-415,7961;414,6751;-0,0000;IS3;-14671,4473;0,0000;0,0000;607,2738;-605,6366;-0,0000;VidyutVanika;21,0957;-1,4211;-1,4211;-0,8732;0,8732;-0,0574
403;0,1478;-0,0486;3374,8251;152,7188;152,6593;default broker;5702,1865;0,0000;0,0000;-258,0374;257,8363;-0,0000;COLDPOWER22;9213,1765;0,0000;0,0000;-416,9180;416,5931;-0,0000;IS3;-17057,8409;0,0000;0,0000;771,9076;-771,3060;-0,0000;VidyutVanika;5517,3030;-1,4211;-1,4211;-249,6710;249,6710;-0,0595
404;0,1498;-0,0362;-7482,0396;1177,1299;1177,1299;default broker;5500,4841;0,0000;0,0000;865,3769;865,3769;-0,0000;COLDPOWER22;9931,4950;0,0000;0,0000;1562,4964;1562,4964;-0,0000;IS3;-18429,4433;0,0000;0,0000;-2899,4566;-2899,4566;-0,0000;VidyutVanika;-4484,5754;1200,0000;0,0000;-705,5466;-705,5466;-0,0000
405;0,1514;-0,0370;-20453,9631;3515,6632;3515,6632;default broker;5030,8795;0,0000;0,0000;864,7164;864,7164;-0,0000;COLDPOWER22;9232,1218;0,0000;0,0000;1586,8333;1586,8333;-0,0000;IS3;-18634,3217;0,0000;0,0000;-3202,9000;-3202,9000;-0,0000;VidyutVanika;-16082,6427;1200,0000;0,0000;-2764,3129;-2764,3129;-0,0000
406;0,1293;-0,0353;-14338,5957;2060,2662;2060,2662;default broker;4726,3550;0,0000;0,0000;679,1146;679,1146;-0,0000;COLDPOWER22;8143,0320;0,0000;0,0000;1170,0458;1170,0458;-0,0000;IS3;-18341,4615;0,0000;0,0000;-2635,4250;-2635,4250;-0,0000;VidyutVanika;-8866,5212;1200,0000;0,0000;-1274,0016;-1274,0016;-0,0000
407;0,1463;-0,0363;-36034,8857;6571,1439;0,0000;default broker;4936,5408;0,0000;0,0000;900,2032;900,2032;-0,0000;COLDPOWER22;4773,4510;0,0000;0,0000;870,4630;870,4630;-0,0000;IS3;-18907,1431;0,0000;0,0000;-3447,8133;-3447,8133;-0,0000;VidyutVanika;-26837,7344;1200,0000;0,0000;-4893,9968;-4893,9968;-0,0000
408;0,1365;-0,0367;-23490,7664;3758,6770;3758,6770;default broker;4950,8024;0,0000;0,0000;792,1609;792,1609;-0,0000;COLDPOWER22;5718,4210;0,0000;0,0000;914,9849;914,9849;-0,0000;IS3;-24381,7370;0,0000;0,0000;-3901,2381;-3901,2381;-0,0000;VidyutVanika;-9778,2527;1200,0000;0,0000;-1564,5847;-1564,5847;-0,0000
409;0,1292;-0,0352;-22491,9109;3411,6735;3411,6735;default broker;4257,2264;0,0000;0,0000;645,7551;645,7551;-0,0000;COLDPOWER22;6509,4243;0,0000;0,0000;987,3785;987,3785;-0,0000;IS3;-22972,6316;0,0000;0,0000;-3484,5913;-3484,5913;-0,0000;VidyutVanika;-10285,9300;1200,0000;0,0000;-1560,2158;-1560,2158;-0,0000
410;0,1157;-0,0355;-38161,0281;5872,9727;5872,9727;default broker;4158,0421;0,0000;0,0000;639,9216;639,9216;-0,0000;COLDPOWER22;-16033,3014;0,0000;0,0000;-2467,5211;-2467,5211;-0,0000;IS3;-7053,5605;0,0000;0,0000;-1085,5412;-1085,5412;-0,0000;VidyutVanika;-19232,2083;1200,0000;0,0000;-2959,8320;-2959,8320;-0,0000
411;0,1239;-0,0366;-46067,0482;7832,1127;0,0000;default broker;4047,4027;0,0000;0,0000;688,1212;688,1212;-0,0000;COLDPOWER22;-21871,9752;0,0000;0,0000;-3718,5750;-3718,5750;-0,0000;IS3;-7336,0210;0,0000;0,0000;-1247,2374;-1247,2374;-0,0000;VidyutVanika;-20906,4547;1200,0000;0,0000;-3554,4216;-3554,4216;-0,0000
412;0,1319;-0,0353;-48339,7300;8712,2556;0,0000;default broker;4037,0749;0,0000;0,0000;727,6008;727,6008;-0,0000;COLDPOWER22;-28866,8400;0,0000;0,0000;-5202,6623;-5202,6623;-0,0000;IS3;-7402,4509;0,0000;0,0000;-1334,1416;-1334,1416;-0,0000;VidyutVanika;-16107,5140;1200,0000;0,0000;-2903,0526;-2903,0526;-0,0000
413;0,1407;-0,0425;-55291,8850;10837,0142;0,0000;default broker;4147,5281;0,0000;0,0000;812,9009;812,9009;-0,0000;COLDPOWER22;-35162,9691;0,0000;0,0000;-6891,8178;-6891,8178;-0,0000;IS3;-7776,1362;0,0000;0,0000;-1524,0952;-1524,0952;-0,0000;VidyutVanika;-16500,3078;1200,0000;996,4692;-3234,0021;-90,5746;249,4082
414;0,1288;-0,0427;-34738,4306;5681,5184;0,0000;default broker;4100,5256;0,0000;0,0000;670,6466;670,6466;-0,0000;COLDPOWER22;-20665,1501;0,0000;0,0000;-3379,8139;-3379,8139;-0,0000;IS3;-8136,8867;0,0000;0,0000;-1330,7991;-1330,7991;-0,0000;VidyutVanika;-10036,9195;1200,0000;0,0000;-1641,5521;-1641,5521;-0,0000
415;0,1481;-0,0390;-25866,5323;4500,6027;0,0000;default broker;4697,0803;0,0000;0,0000;817,2604;817,2604;-0,0000;COLDPOWER22;-31229,4299;0,0000;0,0000;-5433,7108;-5433,7108;-0,0000;IS3;-9335,9026;0,0000;0,0000;-1624,3843;-1624,3843;-0,0000;VidyutVanika;10001,7199;1200,0000;0,0000;1740,2320;1740,2320;-0,0000
416;0,1510;-0,0362;-10174,5006;1640,3770;1640,3770;default broker;4888,1472;0,0000;0,0000;788,0882;788,0882;-0,0000;COLDPOWER22;-25964,8273;0,0000;0,0000;-4186,1618;-4186,1618;-0,0000;IS3;-9671,5951;0,0000;0,0000;-1559,2964;-1559,2964;-0,0000;VidyutVanika;20573,7747;1200,0000;0,0000;3316,9930;3316,9930;-0,0000
417;0,1859;-0,0353;-2403,8454;452,6853;452,6853;default broker;4896,1492;0,0000;0,0000;922,0288;922,0288;-0,0000;COLDPOWER22;-26255,9246;0,0000;0,0000;-4944,4406;-4944,4406;-0,0000;IS3;-8955,9067;0,0000;0,0000;-1686,5507;-1686,5507;-0,0000;VidyutVanika;27911,8366;1200,0000;0,0000;5256,2773;5256,2773;-0,0000
418;0,1804;-0,0379;3650,9053;124,9798;91,1050;default broker;4864,2019;0,0000;0,0000;-166,5140;76,2493;-0,0000;COLDPOWER22;-26333,5021;0,0000;0,0000;901,4626;-412,7936;-0,0000;IS3;-8960,1704;0,0000;0,0000;306,7294;-140,4561;-0,0000;VidyutVanika;34080,3760;-1070,2308;-1070,2308;-1166,6577;1166,6577;-33,8748
419;0,1484;-0,0353;-5015,8887;769,7395;769,7395;default broker;4874,7092;0,0000;0,0000;748,0741;748,0741;-0,0000;COLDPOWER22;-21219,4177;0,0000;0,0000;-3256,3371;-3256,3371;-0,0000;IS3;-8864,8619;0,0000;0,0000;-1360,4039;-1360,4039;-0,0000;VidyutVanika;20193,6817;1200,0000;0,0000;3098,9274;3098,9274;-0,0000
420;0,1401;-0,0382;-3511,0309;504,3858;504,3858;default broker;4925,4637;0,0000;0,0000;707,5796;707,5796;-0,0000;COLDPOWER22;-14667,3399;0,0000;0,0000;-2107,0728;-2107,0728;-0,0000;IS3;-8928,2297;0,0000;0,0000;-1282,6068;-1282,6068;-0,0000;VidyutVanika;15159,0751;1200,0000;0,0000;2177,7142;2177,7142;-0,0000
421;0,1482;-0,0358;-24886,1463;4308,3198;0,0000;default broker;5374,6111;0,0000;0,0000;930,4592;930,4592;-0,0000;COLDPOWER22;-27401,2659;0,0000;0,0000;-4743,7403;-4743,7403;-0,0000;IS3;-9264,2803;0,0000;0,0000;-1603,8434;-1603,8434;-0,0000;VidyutVanika;6404,7888;1200,0000;0,0000;1108,8048;1108,8048;-0,0000
422;0,1463;-0,0365;-28395,2603;4959,5260;0,0000;default broker;5394,1721;0,0000;0,0000;942,1480;942,1480;-0,0000;COLDPOWER22;-30085,5885;0,0000;0,0000;-5254,7593;-5254,7593;-0,0000;IS3;-9617,8823;0,0000;0,0000;-1679,8627;-1679,8627;-0,0000;VidyutVanika;5914,0384;1200,0000;0,0000;1032,9480;1032,9480;-0,0000
423;0,1541;-0,0410;-19444,2962;3374,9009;3374,9009;default broker;6373,9508;0,0000;0,0000;1106,3117;1106,3117;-0,0000;COLDPOWER22;-31638,2919;0,0000;0,0000;-5491,3841;-5491,3841;-0,0000;IS3;-9003,6123;0,0000;0,0000;-1562,7359;-1562,7359;-0,0000;VidyutVanika;14823,6573;1200,0000;0,0000;2572,9074;2572,9074;-0,0000
424;0,1661;-0,0384;-30469,9646;5990,2369;77,1441;default broker;6787,8610;0,0000;0,0000;1334,4583;85,1842;-0,0000;COLDPOWER22;-23132,1933;0,0000;0,0000;-4547,6692;-290,2973;-0,0000;IS3;-10395,9354;0,0000;0,0000;-2043,7870;-130,4637;-0,0000;VidyutVanika;-3729,6969;1200,0000;1200,0000;-733,2391;-49,6517;282,4380
425;0,1515;-0,0376;-45328,7829;8919,7610;113,2767;default broker;6266,9683;0,0000;0,0000;1233,2089;66,0913;-0,0000;COLDPOWER22;-33885,6224;0,0000;0,0000;-6667,9852;-357,3569;-0,0000;IS3;-9433,9909;0,0000;0,0000;-1856,4130;-99,4906;-0,0000;VidyutVanika;-8276,1380;1200,0000;1200,0000;-1628,5717;-92,2162;314,3129
426;0,2108;-0,0357;-44259,8426;11287,1932;11200,7248;default broker;5808,0551;0,0000;0,0000;1481,1765;1481,1765;-0,0000;COLDPOWER22;-27340,4070;0,0000;0,0000;-6972,3804;-6972,3804;-0,0000;IS3;-9303,6381;0,0000;0,0000;-2372,6239;-2372,6239;-0,0000;VidyutVanika;-13423,8526;289,2000;289,2000;-3423,3655;-3423,3655;86,4684
427;0,2510;-0,0351;-39403,9464;11444,9629;11444,9629;default broker;5859,2916;0,0000;0,0000;1701,8441;1701,8441;-0,0000;COLDPOWER22;-22987,1707;0,0000;0,0000;-6676,6743;-6676,6743;-0,0000;IS3;-8885,0073;0,0000;0,0000;-2580,6699;-2580,6699;-0,0000;VidyutVanika;-13391,0599;0,0000;0,0000;-3889,4628;-3889,4628;-0,0000
428;0,1748;-0,0354;-53635,2594;12252,8685;12252,8685;default broker;5949,9108;0,0000;0,0000;1359,2453;1359,2453;-0,0000;COLDPOWER22;-35368,0583;0,0000;0,0000;-8079,7627;-8079,7627;-0,0000;IS3;-8746,3446;0,0000;0,0000;-1998,0851;-1998,0851;-0,0000;VidyutVanika;-15470,7673;0,0000;0,0000;-3534,2660;-3534,2660;-0,0000
429;0,2856;-0,0352;-41779,5794;13676,7789;13676,7789;default broker;5335,4530;0,0000;0,0000;1746,5904;1746,5904;-0,0000;COLDPOWER22;-21872,8563;0,0000;0,0000;-7160,2018;-7160,2018;-0,0000;IS3;-7951,8215;0,0000;0,0000;-2603,0732;-2603,0732;-0,0000;VidyutVanika;-17290,3546;0,0000;0,0000;-5660,0942;-5660,0942;-0,0000
430;0,2675;-0,0368;-42721,5329;13254,4507;13254,4507;default broker;4839,8559;0,0000;0,0000;1501,5761;1501,5761;-0,0000;COLDPOWER22;-19684,7617;0,0000;0,0000;-6107,2411;-6107,2411;-0,0000;IS3;-8277,2415;0,0000;0,0000;-2568,0326;-2568,0326;-0,0000;VidyutVanika;-19599,3857;0,0000;0,0000;-6080,7530;-6080,7530;-0,0000
431;0,2862;-0,0357;-38919,7632;12652,8394;12652,8394;default broker;4865,6508;0,0000;0,0000;1581,8261;1581,8261;-0,0000;COLDPOWER22;-16361,5443;0,0000;0,0000;-5319,1483;-5319,1483;-0,0000;IS3;-7941,8580;0,0000;0,0000;-2581,9030;-2581,9030;-0,0000;VidyutVanika;-19482,0117;0,0000;0,0000;-6333,6142;-6333,6142;-0,0000
