ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;Mertacor22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2
372;0,1205;-0,0356;-68703,9428;12999,6117;12999,6117;default broker;-25342,4277;0,0000;0,0000;-4795,0919;-4795,0919;-0,0000;Mertacor22;-43361,5151;0,0000;0,0000;-8204,5198;-8204,5198;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
373;0,1217;-0,0351;-36649,5900;5803,8150;5803,8150;default broker;-5625,1894;0,0000;0,0000;-890,8028;-890,8028;-0,0000;Mertacor22;-31024,4006;0,0000;0,0000;-4913,0122;-4913,0122;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
374;0,1215;-0,0357;-31227,2225;4768,7317;4768,7317;default broker;1501,3969;0,0000;0,0000;229,2794;229,2794;-0,0000;Mertacor22;-32728,6194;0,0000;0,0000;-4998,0111;-4998,0111;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
375;0,1204;-0,0350;-23995,4321;3465,8848;3465,8848;default broker;4438,1075;0,0000;0,0000;641,0374;641,0374;-0,0000;Mertacor22;-28433,5396;0,0000;0,0000;-4106,9222;-4106,9222;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
376;0,1194;-0,0354;-22482,6687;3189,2763;3189,2763;default broker;8952,8176;0,0000;0,0000;1270,0009;1270,0009;-0,0000;Mertacor22;-31435,4864;0,0000;0,0000;-4459,2772;-4459,2772;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
377;0,1103;-0,0353;3129,4345;100,7686;100,7686;default broker;19624,8264;0,0000;0,0000;-631,9244;631,9244;-0,0000;Mertacor22;-16495,3919;0,0000;0,0000;531,1558;-531,1558;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
378;0,1166;-0,0352;3697,2947;116,5683;116,5683;default broker;21322,9481;0,0000;0,0000;-672,2700;672,2700;-0,0000;Mertacor22;-17625,6534;0,0000;0,0000;555,7017;-555,7017;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
379;0,1160;-0,0355;3864,4697;122,3762;122,3762;default broker;19154,8304;0,0000;0,0000;-606,5761;606,5761;-0,0000;Mertacor22;-15290,3608;0,0000;0,0000;484,1999;-484,1999;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
380;0,1116;-0,0367;14660,7295;322,5961;322,5961;default broker;18845,4495;0,0000;0,0000;-414,6771;414,6771;-0,0000;Mertacor22;-4073,4345;0,0000;0,0000;89,6323;-89,6323;-0,0000;IS3;-111,2856;0,0000;0,0000;2,4487;-2,4487;-0,0000
381;0,1236;-0,0411;19715,6006;420,7588;420,7588;default broker;20353,3415;0,0000;0,0000;-434,3691;434,3691;-0,0000;Mertacor22;-576,5493;0,0000;0,0000;12,3044;-12,3044;-0,0000;IS3;-61,1916;0,0000;0,0000;1,3059;-1,3059;-0,0000
382;0,1078;-0,0364;20027,1415;328,1337;328,1337;default broker;20861,6710;0,0000;0,0000;-341,8070;341,8070;-0,0000;Mertacor22;-851,7148;0,0000;0,0000;13,9549;-13,9549;-0,0000;IS3;17,1853;0,0000;0,0000;-0,2816;0,2816;-0,0000
383;0,1045;-0,0351;23886,9993;267,2075;267,2075;default broker;20278,5344;0,0000;0,0000;-226,8421;226,8421;-0,0000;Mertacor22;3573,0488;0,0000;0,0000;-39,9693;39,9693;-0,0000;IS3;35,4162;0,0000;0,0000;-0,3962;0,3962;-0,0000
384;0,1005;-0,0355;18466,0969;314,1570;314,1570;default broker;19370,4475;0,0000;0,0000;-329,5424;329,5424;-0,0000;Mertacor22;-970,0403;0,0000;0,0000;16,5029;-16,5029;-0,0000;IS3;65,6897;0,0000;0,0000;-1,1176;1,1176;-0,0000
385;0,0956;-0,0353;17498,0497;311,3270;311,3270;default broker;16894,6976;0,0000;0,0000;-300,5921;300,5921;-0,0000;Mertacor22;651,1568;0,0000;0,0000;-11,5854;11,5854;-0,0000;IS3;-47,8047;0,0000;0,0000;0,8505;-0,8505;-0,0000
386;0,1031;-0,0405;12576,2997;351,5904;351,5904;default broker;13309,0441;0,0000;0,0000;-372,0755;372,0755;-0,0000;Mertacor22;-507,9193;0,0000;0,0000;14,1997;-14,1997;-0,0000;IS3;-224,8252;0,0000;0,0000;6,2853;-6,2853;-0,0000
387;0,0916;-0,0355;14809,1055;305,7920;305,7920;default broker;15454,3247;0,0000;0,0000;-319,1151;319,1151;-0,0000;Mertacor22;-317,2503;0,0000;0,0000;6,5509;-6,5509;-0,0000;IS3;-327,9689;0,0000;0,0000;6,7722;-6,7722;-0,0000
388;0,0931;-0,0377;17845,8013;354,1766;354,1766;default broker;16688,6129;0,0000;0,0000;-331,2105;331,2105;-0,0000;Mertacor22;1374,4425;0,0000;0,0000;-27,2779;27,2779;-0,0000;IS3;-217,2541;0,0000;0,0000;4,3117;-4,3117;-0,0000
389;0,1112;-0,0406;17339,7798;403,1901;403,1901;default broker;15551,3535;0,0000;0,0000;-361,6050;361,6050;-0,0000;Mertacor22;1933,6225;0,0000;0,0000;-44,9612;44,9612;-0,0000;IS3;-145,1963;0,0000;0,0000;3,3762;-3,3762;-0,0000
390;0,1313;-0,0412;8075,9832;267,2339;267,2339;default broker;7038,4003;0,0000;0,0000;-232,9003;232,9003;-0,0000;Mertacor22;949,3702;0,0000;0,0000;-31,4146;31,4146;-0,0000;IS3;88,2128;0,0000;0,0000;-2,9190;2,9190;-0,0000
391;0,1183;-0,0405;12216,3098;345,1990;345,1990;default broker;11102,1630;0,0000;0,0000;-313,7163;313,7163;-0,0000;Mertacor22;977,2652;0,0000;0,0000;-27,6148;27,6148;-0,0000;IS3;136,8816;0,0000;0,0000;-3,8679;3,8679;-0,0000
392;0,1162;-0,0417;12321,0934;361,5695;361,5695;default broker;20506,5135;0,0000;0,0000;-601,7754;601,7754;-0,0000;Mertacor22;-8086,8510;0,0000;0,0000;237,3133;-237,3133;-0,0000;IS3;-98,5691;0,0000;0,0000;2,8926;-2,8926;-0,0000
393;0,1389;-0,0351;32173,9643;92,6139;92,6139;default broker;35722,1040;0,0000;0,0000;-102,8274;102,8274;-0,0000;Mertacor22;-3438,9694;0,0000;0,0000;9,8992;-9,8992;-0,0000;IS3;-109,1703;0,0000;0,0000;0,3143;-0,3143;-0,0000
394;0,1306;-0,0375;38500,4589;-37,3546;-37,3546;default broker;37932,0915;0,0000;0,0000;36,8032;-36,8032;-0,0000;Mertacor22;644,3682;0,0000;0,0000;0,6252;-0,6252;-0,0000;IS3;-76,0008;0,0000;0,0000;-0,0737;0,0737;-0,0000
395;0,1116;-0,0401;17605,5087;395,8540;395,8540;default broker;17253,1597;0,0000;0,0000;-387,9316;387,9316;-0,0000;Mertacor22;552,6087;0,0000;0,0000;-12,4252;12,4252;-0,0000;IS3;-200,2597;0,0000;0,0000;4,5028;-4,5028;-0,0000
396;0,1218;-0,0394;-2053,5912;254,4141;254,4141;default broker;2494,8186;0,0000;0,0000;309,0766;309,0766;-0,0000;Mertacor22;-4334,3216;0,0000;0,0000;-536,9679;-536,9679;-0,0000;IS3;-214,0882;0,0000;0,0000;-26,5228;-26,5228;-0,0000
397;0,1361;-0,0525;8633,4071;378,7182;378,7182;default broker;15962,0453;0,0000;0,0000;-700,2005;700,2005;-0,0000;Mertacor22;-7236,3789;0,0000;0,0000;317,4353;-317,4353;-0,0000;IS3;-92,2593;0,0000;0,0000;4,0471;-4,0471;-0,0000
398;0,1202;-0,0356;-1167,4093;141,6375;141,6375;default broker;3964,1715;0,0000;0,0000;480,9583;480,9583;-0,0000;Mertacor22;-13440,3273;0,0000;0,0000;-1630,6653;-1630,6653;-0,0000;IS3;8308,7464;0,0000;0,0000;1008,0696;1008,0696;-0,0000
399;0,1246;-0,0383;16042,7043;357,4500;357,4500;default broker;14381,3697;0,0000;0,0000;-320,4335;320,4335;-0,0000;Mertacor22;-6467,9369;0,0000;0,0000;144,1131;-144,1131;-0,0000;IS3;8129,2715;0,0000;0,0000;-181,1296;181,1296;-0,0000
400;0,1176;-0,0453;25762,9773;503,3026;503,3026;default broker;12834,2864;0,0000;0,0000;-250,7292;250,7292;-0,0000;Mertacor22;5694,0248;0,0000;0,0000;-111,2378;111,2378;-0,0000;IS3;7234,6661;0,0000;0,0000;-141,3356;141,3356;-0,0000
401;0,1656;-0,0450;3985,5534;163,4276;163,4276;default broker;14809,5417;0,0000;0,0000;-607,2651;607,2651;-0,0000;Mertacor22;-16848,7855;0,0000;0,0000;690,8843;-690,8843;-0,0000;IS3;6024,7971;0,0000;0,0000;-247,0467;247,0467;-0,0000
402;0,1321;-0,0420;29612,5252;366,8829;366,8829;default broker;15013,9045;0,0000;0,0000;-186,0140;186,0140;-0,0000;Mertacor22;9155,0484;0,0000;0,0000;-113,4260;113,4260;-0,0000;IS3;5443,5724;0,0000;0,0000;-67,4429;67,4429;-0,0000
403;0,1305;-0,0520;21438,2939;654,5528;654,5528;default broker;16867,8083;0,0000;0,0000;-515,0070;515,0070;-0,0000;Mertacor22;-750,5610;0,0000;0,0000;22,9161;-22,9161;-0,0000;IS3;5321,0466;0,0000;0,0000;-162,4619;162,4619;-0,0000
404;0,1421;-0,0491;30573,9807;567,9028;567,9028;default broker;17116,6611;0,0000;0,0000;-317,9370;317,9370;-0,0000;Mertacor22;6966,0394;0,0000;0,0000;-129,3922;129,3922;-0,0000;IS3;6491,2802;0,0000;0,0000;-120,5736;120,5736;-0,0000
405;0,1409;-0,0435;27241,1726;443,5047;443,5047;default broker;17107,7173;0,0000;0,0000;-278,5252;278,5252;-0,0000;Mertacor22;3787,0492;0,0000;0,0000;-61,6557;61,6557;-0,0000;IS3;6346,4061;0,0000;0,0000;-103,3238;103,3238;-0,0000
406;0,1030;-0,0388;24797,8688;347,7832;347,7832;default broker;17379,7556;0,0000;0,0000;-243,7462;243,7462;-0,0000;Mertacor22;753,2962;0,0000;0,0000;-10,5648;10,5648;-0,0000;IS3;6664,8170;0,0000;0,0000;-93,4722;93,4722;-0,0000
407;0,0999;-0,0367;30407,7848;191,9882;191,9882;default broker;15748,4309;0,0000;0,0000;-99,4322;99,4322;-0,0000;Mertacor22;10587,1154;0,0000;0,0000;-66,8448;66,8448;-0,0000;IS3;4072,2385;0,0000;0,0000;-25,7112;25,7112;-0,0000
408;0,0898;-0,0364;20506,2540;326,4931;326,4931;default broker;14312,9959;0,0000;0,0000;-227,8863;227,8863;-0,0000;Mertacor22;3060,9179;0,0000;0,0000;-48,7348;48,7348;-0,0000;IS3;3132,3402;0,0000;0,0000;-49,8720;49,8720;-0,0000
409;0,0966;-0,0358;21640,0142;305,8325;305,8325;default broker;12479,0023;0,0000;0,0000;-176,3624;176,3624;-0,0000;Mertacor22;4843,0081;0,0000;0,0000;-68,4449;68,4449;-0,0000;IS3;4318,0039;0,0000;0,0000;-61,0252;61,0252;-0,0000
410;0,0913;-0,0360;7445,0857;212,5049;212,5049;default broker;10642,2120;0,0000;0,0000;-303,7604;303,7604;-0,0000;Mertacor22;-3072,8417;0,0000;0,0000;87,7080;-87,7080;-0,0000;IS3;-124,2846;0,0000;0,0000;3,5475;-3,5475;-0,0000
411;0,1034;-0,0374;11210,4305;293,1193;293,1193;default broker;10360,4288;0,0000;0,0000;-270,8943;270,8943;-0,0000;Mertacor22;815,1847;0,0000;0,0000;-21,3146;21,3146;-0,0000;IS3;34,8171;0,0000;0,0000;-0,9104;0,9104;-0,0000
412;0,1024;-0,0352;7627,3672;210,3646;210,3646;default broker;9480,9687;0,0000;0,0000;-261,4874;261,4874;-0,0000;Mertacor22;-2234,6596;0,0000;0,0000;61,6324;-61,6324;-0,0000;IS3;381,0580;0,0000;0,0000;-10,5097;10,5097;-0,0000
413;0,1130;-0,0408;12038,0034;346,2728;346,2728;default broker;7828,9011;0,0000;0,0000;-225,1981;225,1981;-0,0000;Mertacor22;3431,7877;0,0000;0,0000;-98,7153;98,7153;-0,0000;IS3;777,3145;0,0000;0,0000;-22,3594;22,3594;-0,0000
414;0,1206;-0,0407;15188,8912;386,9946;386,9946;default broker;7071,2700;0,0000;0,0000;-180,1674;180,1674;-0,0000;Mertacor22;6043,6428;0,0000;0,0000;-153,9847;153,9847;-0,0000;IS3;2073,9783;0,0000;0,0000;-52,8425;52,8425;-0,0000
415;0,1127;-0,0381;8748,9770;256,4704;256,4704;default broker;7783,5909;0,0000;0,0000;-228,1707;228,1707;-0,0000;Mertacor22;-10251,2918;0,0000;0,0000;300,5097;-300,5097;-0,0000;IS3;11216,6780;0,0000;0,0000;-328,8094;328,8094;-0,0000
416;0,1231;-0,0521;22812,9688;667,7439;667,7439;default broker;5010,7104;0,0000;0,0000;-146,6653;146,6653;-0,0000;Mertacor22;-132,1097;0,0000;0,0000;3,8669;-3,8669;-0,0000;IS3;17934,3681;0,0000;0,0000;-524,9455;524,9455;-0,0000
417;0,1406;-0,0538;43301,3001;453,5853;453,5853;default broker;14404,1585;0,0000;0,0000;-150,8850;150,8850;-0,0000;Mertacor22;186,0651;0,0000;0,0000;-1,9490;1,9490;-0,0000;IS3;28711,0765;0,0000;0,0000;-300,7513;300,7513;-0,0000
418;0,1240;-0,0396;52077,2450;-650,6485;-650,6485;default broker;16242,6219;0,0000;0,0000;202,9339;-202,9339;-0,0000;Mertacor22;1548,0518;0,0000;0,0000;19,3412;-19,3412;-0,0000;IS3;34286,5713;0,0000;0,0000;428,3734;-428,3734;-0,0000
419;0,1257;-0,0361;30259,8956;175,8302;175,8302;default broker;5809,3601;0,0000;0,0000;-33,7563;33,7563;-0,0000;Mertacor22;2338,2921;0,0000;0,0000;-13,5870;13,5870;-0,0000;IS3;22112,2435;0,0000;0,0000;-128,4869;128,4869;-0,0000
420;0,1290;-0,0540;30967,4207;712,8235;712,8235;default broker;10585,7104;0,0000;0,0000;-243,6672;243,6672;-0,0000;Mertacor22;-1644,6120;0,0000;0,0000;37,8565;-37,8565;-0,0000;IS3;22026,3223;0,0000;0,0000;-507,0129;507,0129;-0,0000
421;0,1171;-0,0509;37901,0443;491,8540;491,8540;default broker;15227,2536;0,0000;0,0000;-197,6089;197,6089;-0,0000;Mertacor22;-1242,2436;0,0000;0,0000;16,1210;-16,1210;-0,0000;IS3;23916,0343;0,0000;0,0000;-310,3660;310,3660;-0,0000
422;0,1083;-0,0352;34970,9244;8,4457;8,4457;default broker;13400,6422;0,0000;0,0000;-3,2364;3,2364;-0,0000;Mertacor22;-2909,4913;0,0000;0,0000;0,7027;-0,7027;-0,0000;IS3;24479,7736;0,0000;0,0000;-5,9120;5,9120;-0,0000
423;0,1467;-0,0533;6078,9888;287,2586;287,2586;default broker;6695,1468;0,0000;0,0000;-316,3748;316,3748;-0,0000;Mertacor22;-11198,0611;0,0000;0,0000;529,1570;-529,1570;-0,0000;IS3;10581,9031;0,0000;0,0000;-500,0409;500,0409;-0,0000
424;0,1139;-0,0473;27101,5883;547,3451;547,3451;default broker;10256,9998;0,0000;0,0000;-207,1509;207,1509;-0,0000;Mertacor22;7962,7342;0,0000;0,0000;-160,8158;160,8158;-0,0000;IS3;8881,8543;0,0000;0,0000;-179,3784;179,3784;-0,0000
425;0,1478;-0,0521;19558,9945;636,1434;636,1434;default broker;13248,7519;0,0000;0,0000;-430,9069;430,9069;-0,0000;Mertacor22;-849,0389;0,0000;0,0000;27,6144;-27,6144;-0,0000;IS3;7159,2815;0,0000;0,0000;-232,8509;232,8509;-0,0000
426;0,1263;-0,0443;24542,1623;484,4819;484,4819;default broker;15059,1593;0,0000;0,0000;-297,2798;297,2798;-0,0000;Mertacor22;2352,9514;0,0000;0,0000;-46,4491;46,4491;-0,0000;IS3;7130,0515;0,0000;0,0000;-140,7529;140,7529;-0,0000
427;0,1325;-0,0499;25516,2118;622,0358;622,0358;default broker;16574,3948;0,0000;0,0000;-404,0516;404,0516;-0,0000;Mertacor22;2120,8702;0,0000;0,0000;-51,7027;51,7027;-0,0000;IS3;6820,9469;0,0000;0,0000;-166,2815;166,2815;-0,0000
428;0,1209;-0,0463;35266,4307;390,1022;390,1022;default broker;17378,8449;0,0000;0,0000;-192,2374;192,2374;-0,0000;Mertacor22;6911,1002;0,0000;0,0000;-76,4476;76,4476;-0,0000;IS3;10976,4857;0,0000;0,0000;-121,4172;121,4172;-0,0000
429;0,1167;-0,0443;30790,1432;416,4328;416,4328;default broker;17413,7872;0,0000;0,0000;-235,5193;235,5193;-0,0000;Mertacor22;6575,0548;0,0000;0,0000;-88,9268;88,9268;-0,0000;IS3;6801,3012;0,0000;0,0000;-91,9867;91,9867;-0,0000
430;0,1223;-0,0434;29784,9250;407,0075;407,0075;default broker;17802,7505;0,0000;0,0000;-243,2725;243,2725;-0,0000;Mertacor22;1077,2946;0,0000;0,0000;-14,7211;14,7211;-0,0000;IS3;10904,8798;0,0000;0,0000;-149,0139;149,0139;-0,0000
431;0,1054;-0,0447;29119,4275;453,4884;453,4884;default broker;17415,0156;0,0000;0,0000;-271,2109;271,2109;-0,0000;Mertacor22;4608,8494;0,0000;0,0000;-71,7754;71,7754;-0,0000;IS3;7095,5625;0,0000;0,0000;-110,5020;110,5020;-0,0000
432;0,1166;-0,0478;21500,2243;565,8127;565,8127;default broker;16608,8646;0,0000;0,0000;-437,0887;437,0887;-0,0000;Mertacor22;-1719,0253;0,0000;0,0000;45,2389;-45,2389;-0,0000;IS3;6610,3850;0,0000;0,0000;-173,9628;173,9628;-0,0000
433;0,1028;-0,0479;27789,6549;557,9387;557,9387;default broker;16008,7878;0,0000;0,0000;-321,4117;321,4117;-0,0000;Mertacor22;5226,1545;0,0000;0,0000;-104,9266;104,9266;-0,0000;IS3;6554,7126;0,0000;0,0000;-131,6003;131,6003;-0,0000
434;0,1060;-0,0355;22528,9045;291,8391;291,8391;default broker;15678,0542;0,0000;0,0000;-203,0933;203,0933;-0,0000;Mertacor22;-3559,8606;0,0000;0,0000;46,1144;-46,1144;-0,0000;IS3;10410,7110;0,0000;0,0000;-134,8602;134,8602;-0,0000
435;0,1096;-0,0365;18540,5933;333,0546;333,0546;default broker;15002,5360;0,0000;0,0000;-269,4986;269,4986;-0,0000;Mertacor22;-3142,8504;0,0000;0,0000;56,4567;-56,4567;-0,0000;IS3;6680,9077;0,0000;0,0000;-120,0127;120,0127;-0,0000
436;0,1152;-0,0380;18575,4884;360,6455;360,6455;default broker;14731,4199;0,0000;0,0000;-286,0124;286,0124;-0,0000;Mertacor22;-6725,1590;0,0000;0,0000;130,5698;-130,5698;-0,0000;IS3;10569,2275;0,0000;0,0000;-205,2029;205,2029;-0,0000
437;0,1383;-0,0423;9279,9927;306,3603;306,3603;default broker;13338,4395;0,0000;0,0000;-440,3418;440,3418;-0,0000;Mertacor22;-8938,0774;0,0000;0,0000;295,0727;-295,0727;-0,0000;IS3;4879,6306;0,0000;0,0000;-161,0912;161,0912;-0,0000
438;0,1191;-0,0358;20173,9908;314,3313;314,3313;default broker;10670,2987;0,0000;0,0000;-166,2541;166,2541;-0,0000;Mertacor22;-1189,9273;0,0000;0,0000;18,5403;-18,5403;-0,0000;IS3;10693,6194;0,0000;0,0000;-166,6174;166,6174;-0,0000
439;0,1404;-0,0364;4332,5955;139,0293;139,0293;default broker;5405,8244;0,0000;0,0000;-173,4683;173,4683;-0,0000;Mertacor22;-12643,5911;0,0000;0,0000;405,7221;-405,7221;-0,0000;IS3;11570,3622;0,0000;0,0000;-371,2831;371,2831;-0,0000
440;0,1296;-0,0403;2659,6340;100,0378;100,0378;default broker;1524,0026;0,0000;0,0000;-57,3229;57,3229;-0,0000;Mertacor22;-4922,3289;0,0000;0,0000;185,1455;-185,1455;-0,0000;IS3;6057,9603;0,0000;0,0000;-227,8604;227,8604;-0,0000
441;0,1300;-0,0541;-4421,3440;594,4479;594,4479;default broker;-1123,2292;0,0000;0,0000;-151,0177;-151,0177;-0,0000;Mertacor22;-8358,2984;0,0000;0,0000;-1123,7698;-1123,7698;-0,0000;IS3;5060,1836;0,0000;0,0000;680,3396;680,3396;-0,0000
442;0,1341;-0,0569;-14981,0141;2232,7002;2232,7002;default broker;-3087,3736;0,0000;0,0000;-460,1277;-460,1277;-0,0000;Mertacor22;-16708,3106;0,0000;0,0000;-2490,1284;-2490,1284;-0,0000;IS3;4814,6702;0,0000;0,0000;717,5559;717,5559;-0,0000
443;0,1427;-0,0365;-16652,0153;2653,3452;2653,3452;default broker;-4024,3849;0,0000;0,0000;-641,2486;-641,2486;-0,0000;Mertacor22;-20835,6325;0,0000;0,0000;-3319,9660;-3319,9660;-0,0000;IS3;8208,0020;0,0000;0,0000;1307,8695;1307,8695;-0,0000
444;0,1267;-0,0541;-11720,1221;1621,9713;1621,9713;default broker;-1916,0661;0,0000;0,0000;-265,1683;-265,1683;-0,0000;Mertacor22;-18629,8525;0,0000;0,0000;-2578,2228;-2578,2228;-0,0000;IS3;8825,7965;0,0000;0,0000;1221,4198;1221,4198;-0,0000
445;0,1929;-0,0558;-32290,3028;7270,8972;7270,8972;default broker;1129,1569;0,0000;0,0000;254,2554;254,2554;-0,0000;Mertacor22;-41451,8530;0,0000;0,0000;-9333,8289;-9333,8289;-0,0000;IS3;8032,3933;0,0000;0,0000;1808,6763;1808,6763;-0,0000
446;0,1859;-0,0446;-10291,1423;2018,9647;2018,9647;default broker;3336,5255;0,0000;0,0000;654,5753;654,5753;-0,0000;Mertacor22;-22437,5371;0,0000;0,0000;-4401,9017;-4401,9017;-0,0000;IS3;8809,8693;0,0000;0,0000;1728,3616;1728,3616;-0,0000
447;0,1914;-0,0560;-13461,0034;2758,0097;2758,0097;default broker;7253,9020;0,0000;0,0000;1486,2438;1486,2438;-0,0000;Mertacor22;-28015,5762;0,0000;0,0000;-5740,0797;-5740,0797;-0,0000;IS3;7300,6707;0,0000;0,0000;1495,8262;1495,8262;-0,0000
448;0,1221;-0,0541;21127,9625;697,5254;697,5254;default broker;10994,5585;0,0000;0,0000;-362,9779;362,9779;-0,0000;Mertacor22;2903,6916;0,0000;0,0000;-95,8634;95,8634;-0,0000;IS3;7229,7124;0,0000;0,0000;-238,6841;238,6841;-0,0000
449;0,1570;-0,0513;22068,2211;645,1438;645,1438;default broker;13928,8487;0,0000;0,0000;-407,1968;407,1968;-0,0000;Mertacor22;797,0141;0,0000;0,0000;-23,3000;23,3000;-0,0000;IS3;7342,3583;0,0000;0,0000;-214,6470;214,6470;-0,0000
450;0,1836;-0,0503;13470,1307;496,7615;496,7615;default broker;15373,9733;0,0000;0,0000;-566,9728;566,9728;-0,0000;Mertacor22;-8337,2969;0,0000;0,0000;307,4690;-307,4690;-0,0000;IS3;6433,4544;0,0000;0,0000;-237,2577;237,2577;-0,0000
451;0,1551;-0,0364;19859,8021;328,8510;328,8510;default broker;16650,3323;0,0000;0,0000;-275,7066;275,7066;-0,0000;Mertacor22;-2970,8635;0,0000;0,0000;49,1934;-49,1934;-0,0000;IS3;6180,3332;0,0000;0,0000;-102,3378;102,3378;-0,0000
452;0,1493;-0,0443;14387,5788;429,9881;429,9881;default broker;17807,1549;0,0000;0,0000;-532,1858;532,1858;-0,0000;Mertacor22;-9494,0798;0,0000;0,0000;283,7407;-283,7407;-0,0000;IS3;6074,5037;0,0000;0,0000;-181,5430;181,5430;-0,0000
453;0,1244;-0,0481;36679,0204;417,6432;417,6432;default broker;18279,8648;0,0000;0,0000;-208,1425;208,1425;-0,0000;Mertacor22;12313,2661;0,0000;0,0000;-140,2042;140,2042;-0,0000;IS3;6085,8895;0,0000;0,0000;-69,2966;69,2966;-0,0000
454;0,1348;-0,0509;24670,1920;647,6193;647,6193;default broker;18003,3672;0,0000;0,0000;-472,6079;472,6079;-0,0000;Mertacor22;367,6458;0,0000;0,0000;-9,6511;9,6511;-0,0000;IS3;6299,1791;0,0000;0,0000;-165,3603;165,3603;-0,0000
455;0,1465;-0,0533;26266,6653;710,9511;710,9511;default broker;17612,3063;0,0000;0,0000;-476,7064;476,7064;-0,0000;Mertacor22;1814,7241;0,0000;0,0000;-49,1185;49,1185;-0,0000;IS3;6839,6350;0,0000;0,0000;-185,1261;185,1261;-0,0000
456;0,1205;-0,0509;24132,5004;646,8115;646,8115;default broker;16600,2222;0,0000;0,0000;-444,9276;444,9276;-0,0000;Mertacor22;891,2336;0,0000;0,0000;-23,8873;23,8873;-0,0000;IS3;6641,0446;0,0000;0,0000;-177,9967;177,9967;-0,0000
