ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
372;0,1696;-0,0360;29146,6461;198,7049;87,7890;default broker;5258,5651;0,0000;0,0000;-35,8498;-22,1870;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;-0,0000;-0,0000;VidyutVanika;26506,2133;-1,4211;-1,4211;-180,7040;-300,8697;124,0511;TUC_TAC22;-2618,1324;-5010,6290;-5010,6290;17,8489;11,0464;210,7964
373;0,1428;-0,0465;12532,0667;425,2429;425,2124;default broker;5622,4493;0,0000;0,0000;-190,7831;190,7558;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;10680,1575;-1,4211;-1,4211;-362,4032;362,4032;-0,0304;TUC_TAC22;-3770,5401;-3274,6316;0,0000;127,9434;-127,9251;-0,0000
374;0,1382;-0,0473;12660,9021;438,5066;438,4754;default broker;5361,5374;0,0000;0,0000;-185,6953;185,6688;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;10727,7568;-1,4211;-1,4211;-371,5527;371,5527;-0,0312;TUC_TAC22;-3428,3921;-2617,7702;0,0000;118,7413;-118,7244;-0,0000
375;0,1786;-0,0520;-17491,1870;3429,6736;0,0000;default broker;6057,1617;0,0000;0,0000;1187,6888;1181,1465;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;13685,2792;1200,0000;0,0000;2683,4108;2683,4108;-0,0000;TUC_TAC22;-37233,6279;9085,7664;9085,7664;-7300,7733;-526,2931;1839,0155
376;0,1453;-0,0469;-1743,7675;256,4520;0,0000;default broker;6673,9788;0,0000;0,0000;981,5273;981,5273;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-1952,8246;1200,0000;0,0000;-287,1976;-287,1976;-0,0000;TUC_TAC22;-6464,9218;10464,2352;1743,7675;-950,7818;-950,7818;256,4520
377;0,1456;-0,0370;-7781,1695;1193,5296;0,0000;default broker;5972,3245;0,0000;0,0000;916,0765;916,0765;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-8103,5143;1200,0000;0,0000;-1242,9731;-1242,9731;-0,0000;TUC_TAC22;-5649,9797;8490,7966;7781,1695;-866,6330;-866,6330;1193,5296
378;0,1483;-0,0359;-15321,3884;2506,1575;1157,0795;default broker;5156,6206;0,0000;0,0000;843,4812;843,4812;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-9448,9195;1200,0000;0,0000;-1545,5832;-1545,5832;-0,0000;TUC_TAC22;-11029,0895;7889,1264;7889,1264;-1804,0555;-1804,0555;1349,0780
379;0,1551;-0,0508;-20155,5976;3532,2682;0,0000;default broker;5154,3399;0,0000;0,0000;903,2980;903,2980;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-11102,7999;1200,0000;0,0000;-1945,7655;-1945,7655;-0,0000;TUC_TAC22;-14207,1376;8079,5148;8079,5148;-2489,8007;-2489,8007;1513,5037
380;0,2609;-0,0611;-44318,2629;13526,7616;10436,2094;default broker;5175,6229;0,0000;0,0000;1579,6968;1577,4889;-0,0000;IS3;-1715,5391;0,0000;0,0000;-523,6146;-522,8827;-0,0000;VidyutVanika;-15157,6154;1200,0000;1200,0000;-4626,3873;-4626,3873;399,0981;TUC_TAC22;-32620,7312;7877,5954;7877,5954;-9956,4565;-9956,4565;2672,5478
381;0,2137;-0,0377;-21431,9187;5038,5459;3075,1825;default broker;4589,4097;0,0000;0,0000;1078,9492;1075,5075;-0,0000;IS3;-1611,7792;0,0000;0,0000;-378,9219;-377,7132;-0,0000;VidyutVanika;-14783,9173;1200,0000;1200,0000;-3475,6312;-3475,6312;290,3207;TUC_TAC22;-9625,6319;6696,7078;6696,7078;-2262,9420;-2262,9420;1656,9706
382;0,1980;-0,0376;-21365,1570;4687,4664;3085,1912;default broker;4567,6936;0,0000;0,0000;1002,1415;1001,3302;-0,0000;IS3;-1707,8483;0,0000;0,0000;-374,6980;-374,3947;-0,0000;VidyutVanika;-16322,9703;289,2000;289,2000;-3581,2222;-3581,2222;65,7503;TUC_TAC22;-7902,0320;6560,6771;6560,6771;-1733,6877;-1733,6877;1532,7302
383;0,2388;-0,0517;-36296,2035;9983,8864;8192,0079;default broker;4498,9075;0,0000;0,0000;1237,5008;1237,5008;-0,0000;IS3;-1656,8944;0,0000;0,0000;-455,7569;-455,7569;-0,0000;VidyutVanika;-21665,6095;0,0000;0,0000;-5959,4934;-5959,4934;-0,0000;TUC_TAC22;-17472,6071;5865,4399;5865,4399;-4806,1369;-4806,1369;1791,8785
384;0,1705;-0,0369;-28606,5246;5697,0434;4427,9336;default broker;4283,1078;0,0000;0,0000;852,9890;852,9890;-0,0000;IS3;-1596,8644;0,0000;0,0000;-318,0186;-318,0186;-0,0000;VidyutVanika;-23637,0946;0,0000;0,0000;-4707,3720;-4707,3720;-0,0000;TUC_TAC22;-7655,6734;5715,6086;5715,6086;-1524,6418;-1524,6418;1269,1097
385;0,1432;-0,0352;-31128,0284;5425,9134;4946,8072;default broker;3866,9612;0,0000;0,0000;674,0484;674,0484;-0,0000;IS3;-1624,3113;0,0000;0,0000;-283,1330;-283,1330;-0,0000;VidyutVanika;-27429,8594;0,0000;0,0000;-4781,2871;-4781,2871;-0,0000;TUC_TAC22;-5940,8188;2359,2179;2359,2179;-1035,5416;-1035,5416;479,1062
386;0,1283;-0,0350;-24217,3813;3693,2746;2074,1423;default broker;3757,7991;0,0000;0,0000;573,0836;423,8937;-0,0000;IS3;-1652,6457;0,0000;0,0000;-252,0369;-186,4246;-0,0000;VidyutVanika;-22928,2613;0,0000;0,0000;-3496,6772;-2586,3929;-0,0000;TUC_TAC22;-3394,2734;1688,7704;1688,7704;-517,6441;-368,0478;416,2839
387;0,1314;-0,0355;-27514,3213;4371,1896;3197,2152;default broker;3835,1356;0,0000;0,0000;609,2865;532,5588;-0,0000;IS3;-1663,4274;0,0000;0,0000;-264,2681;-230,9887;-0,0000;VidyutVanika;-25796,7840;0,0000;0,0000;-4098,3251;-3582,2211;-0,0000;TUC_TAC22;-3889,2454;1490,6452;1490,6452;-617,8829;-524,8832;391,5763
388;0,1796;-0,0362;-23622,4884;4800,0509;4475,1359;default broker;3815,7431;0,0000;0,0000;775,3528;775,3528;-0,0000;IS3;-1654,9191;0,0000;0,0000;-336,2769;-336,2769;-0,0000;VidyutVanika;-21978,1935;0,0000;0,0000;-4465,9329;-4465,9329;-0,0000;TUC_TAC22;-3805,1189;1441,6369;1441,6369;-773,1939;-773,1939;324,9150
389;0,1783;-0,0496;-15156,2071;2932,0579;2384,9141;default broker;4613,0942;0,0000;0,0000;892,4303;892,4303;-0,0000;IS3;-1604,7353;0,0000;0,0000;-310,4455;-310,4455;-0,0000;VidyutVanika;-15029,3967;0,0000;0,0000;-2907,5256;-2907,5256;-0,0000;TUC_TAC22;-3135,1693;2656,6116;2656,6116;-606,5170;-606,5170;547,1438
390;0,1881;-0,0476;-14291,1699;2892,1490;2255,4671;default broker;4753,3658;0,0000;0,0000;961,9536;961,9536;-0,0000;IS3;-1646,4041;0,0000;0,0000;-333,1880;-333,1880;-0,0000;VidyutVanika;-16245,1361;0,0000;0,0000;-3287,5793;-3287,5793;-0,0000;TUC_TAC22;-1152,9956;2979,5378;2979,5378;-233,3353;-233,3353;636,6819
391;0,1713;-0,0500;1873,5403;90,1639;33,2223;default broker;4993,7319;0,0000;0,0000;-240,3227;240,3227;-0,0000;IS3;-1694,4183;0,0000;0,0000;81,5436;21,4516;-0,0000;VidyutVanika;-2241,7086;-1200,0000;-1200,0000;107,8819;-107,8819;-56,9416;TUC_TAC22;815,9352;-4241,0318;0,0000;-39,2668;39,2668;-0,0000
392;0,1706;-0,0508;6238,6851;277,6921;230,3249;default broker;5233,7009;0,0000;0,0000;-232,9589;153,4853;-0,0000;IS3;-1813,7864;0,0000;0,0000;80,7340;-53,1917;-0,0000;VidyutVanika;4235,1248;-1200,0000;-1200,0000;-188,5110;188,5110;-47,3672;TUC_TAC22;-1416,3542;-3405,9294;0,0000;63,0438;-41,5365;-0,0000
393;0,3081;-0,0508;8266,9253;351,2044;335,7820;default broker;5147,7421;0,0000;0,0000;-218,6919;199,4852;-0,0000;IS3;-1895,5696;0,0000;0,0000;80,5296;-73,4571;-0,0000;VidyutVanika;1170,5705;-444,9474;-444,9474;-49,7294;49,7294;-15,4224;TUC_TAC22;3844,1824;-3579,6335;0,0000;-163,3127;148,9697;-0,0000
394;0,2194;-0,0426;-2885,6163;641,2948;0,0000;default broker;5264,0526;0,0000;0,0000;1169,8748;1106,5575;-0,0000;IS3;-1825,4651;0,0000;0,0000;-405,6885;-383,7314;-0,0000;VidyutVanika;-2211,2090;1200,0000;0,0000;-491,4156;-491,4156;-0,0000;TUC_TAC22;-4112,9949;5947,9525;2885,6163;-914,0655;-914,0655;606,5860
395;0,1395;-0,0408;3077,0736;115,9477;115,8493;default broker;5105,7389;0,0000;0,0000;-192,3901;192,3901;-0,0000;IS3;-1676,0725;0,0000;0,0000;63,1563;-63,0492;-0,0000;VidyutVanika;-2976,2611;-2,8421;-2,8421;112,1489;-112,1489;-0,0984;TUC_TAC22;2623,6682;-5043,5708;0,0000;-98,8628;98,8628;-0,0000
396;0,1466;-0,0351;-683,7035;100,6963;0,0000;default broker;5086,9136;0,0000;0,0000;749,2039;749,2039;-0,0000;IS3;-1688,6751;0,0000;0,0000;-248,7091;-248,7091;-0,0000;VidyutVanika;-472,3972;1200,0000;0,0000;-69,5750;-69,5750;-0,0000;TUC_TAC22;-3609,5448;5252,2896;683,7035;-531,6160;-531,6160;100,6963
397;0,1735;-0,0449;-12288,5431;2282,9100;0,0000;default broker;5557,3084;0,0000;0,0000;1032,4117;1032,4117;-0,0000;IS3;-1726,5368;0,0000;0,0000;-320,7482;-320,7482;-0,0000;VidyutVanika;-5182,2156;1200,0000;0,0000;-962,7286;-962,7286;-0,0000;TUC_TAC22;-10937,0990;6092,1474;6092,1474;-2031,8449;-2031,8449;1169,5210
398;0,1380;-0,0443;3545,5423;144,6352;144,4764;default broker;5602,5147;0,0000;0,0000;-228,5464;228,5464;-0,0000;IS3;10910,9779;0,0000;0,0000;-445,0974;445,0974;-0,0000;VidyutVanika;-6198,7854;-4,2632;-4,2632;252,8704;-252,8704;-0,1588;TUC_TAC22;-6769,1650;-3262,0808;0,0000;276,1382;-275,5318;-0,0000
399;0,1722;-0,0474;-1826,1818;317,8423;0,0000;default broker;5151,3717;0,0000;0,0000;896,5831;896,5831;-0,0000;IS3;9253,7591;0,0000;0,0000;1610,5931;1610,5931;-0,0000;VidyutVanika;-7133,0452;1200,0000;0,0000;-1241,4883;-1241,4883;-0,0000;TUC_TAC22;-9098,2673;7335,5202;1826,1818;-1583,5302;-1583,5302;317,8423
400;0,1424;-0,0437;-12446,2516;1927,8542;372,7303;default broker;5779,9328;0,0000;0,0000;895,2790;895,2790;-0,0000;IS3;1572,9451;0,0000;0,0000;243,6403;243,6403;-0,0000;VidyutVanika;-11756,6555;1200,0000;0,0000;-1821,0396;-1821,0396;-0,0000;TUC_TAC22;-8042,4740;9876,0228;9876,0228;-1245,7339;-1245,7339;1555,1239
401;0,2118;-0,0497;-8005,6692;1759,3565;0,0000;default broker;4748,2937;0,0000;0,0000;1043,5032;1021,0339;-0,0000;IS3;-226,6766;0,0000;0,0000;-49,8153;-48,7427;-0,0000;VidyutVanika;-5852,7142;1200,0000;0,0000;-1286,2149;-1286,2149;-0,0000;TUC_TAC22;-6674,5721;9053,8856;8005,6692;-1466,8295;-1466,8295;1721,4731
402;0,2743;-0,0556;-15681,8626;4546,9668;1637,3056;default broker;4125,5290;0,0000;0,0000;1196,2000;1190,7469;-0,0000;IS3;-987,1978;0,0000;0,0000;-286,2387;-284,9338;-0,0000;VidyutVanika;-9196,1953;1200,0000;1200,0000;-2666,4431;-2666,4431;344,5909;TUC_TAC22;-9623,9985;8636,7216;8636,7216;-2790,4850;-2790,4850;2544,3421
403;0,2308;-0,0468;-32838,7360;8657,5140;5871,7476;default broker;4211,7231;0,0000;0,0000;1110,3671;1107,7462;-0,0000;IS3;-875,9146;0,0000;0,0000;-230,9237;-230,3786;-0,0000;VidyutVanika;-10394,5044;1200,0000;1200,0000;-2740,3785;-2740,3785;333,8962;TUC_TAC22;-25780,0402;8514,5794;8514,5794;-6796,5789;-6796,5789;2431,4353
404;0,2205;-0,0355;-21670,6657;5248,6177;2662,7393;default broker;4026,1571;0,0000;0,0000;975,1320;974,0580;-0,0000;IS3;-889,9176;0,0000;0,0000;-215,5373;-215,2999;-0,0000;VidyutVanika;-12676,6003;291,9000;291,9000;-3070,2623;-3070,2623;71,1578;TUC_TAC22;-12130,3049;9901,7168;9901,7168;-2937,9500;-2937,9500;2508,9400
405;0,1896;-0,0390;-32689,1521;7265,9348;5293,6668;default broker;2978,0407;0,0000;0,0000;661,9398;661,9398;-0,0000;IS3;-929,2663;0,0000;0,0000;-206,5514;-206,5514;-0,0000;VidyutVanika;-21767,7551;0,0000;0,0000;-4838,3968;-4838,3968;-0,0000;TUC_TAC22;-12970,1714;7985,6312;7985,6312;-2882,9264;-2882,9264;1972,2680
406;0,2252;-0,0384;-36516,6178;9555,5204;7289,7013;default broker;2907,2840;0,0000;0,0000;760,7663;760,7663;-0,0000;IS3;-881,2836;0,0000;0,0000;-230,6107;-230,6107;-0,0000;VidyutVanika;-25991,7494;0,0000;0,0000;-6801,4156;-6801,4156;-0,0000;TUC_TAC22;-12550,8687;7802,6792;7802,6792;-3284,2604;-3284,2604;2265,8191
407;0,1486;-0,0353;-42643,0405;8157,1766;6568,7161;default broker;2738,1522;0,0000;0,0000;523,7805;523,7805;-0,0000;IS3;-843,2826;0,0000;0,0000;-161,3113;-161,3113;-0,0000;VidyutVanika;-32855,3911;0,0000;0,0000;-6284,8996;-6284,8996;-0,0000;TUC_TAC22;-11682,5190;6999,6863;6999,6863;-2234,7462;-2234,7462;1588,4605
408;0,1850;-0,0355;-41453,7142;9388,6595;8005,3081;default broker;3335,4751;0,0000;0,0000;755,4363;755,4363;-0,0000;IS3;-850,3386;0,0000;0,0000;-192,5893;-192,5893;-0,0000;VidyutVanika;-34098,4141;0,0000;0,0000;-7722,7917;-7722,7917;-0,0000;TUC_TAC22;-9840,4365;5266,4467;5266,4467;-2228,7148;-2228,7148;1383,3514
409;0,1953;-0,0354;-29676,4674;6676,2014;5608,6595;default broker;3178,3837;0,0000;0,0000;715,0288;715,0288;-0,0000;IS3;-817,8623;0,0000;0,0000;-183,9913;-183,9913;-0,0000;VidyutVanika;-23965,2156;0,0000;0,0000;-5391,3629;-5391,3629;-0,0000;TUC_TAC22;-8071,7733;4263,7050;4263,7050;-1815,8760;-1815,8760;1067,5419
410;0,1396;-0,0354;-27358,3157;4566,6950;4094,7305;default broker;3788,7737;0,0000;0,0000;632,4283;632,4283;-0,0000;IS3;-872,1399;0,0000;0,0000;-145,5790;-145,5790;-0,0000;VidyutVanika;-22963,7097;0,0000;0,0000;-3833,1402;-3833,1402;-0,0000;TUC_TAC22;-7311,2397;2460,4614;2460,4614;-1220,4041;-1220,4041;471,9645
411;0,1431;-0,0352;-25429,0479;4286,5593;3941,9721;default broker;3615,7896;0,0000;0,0000;609,5115;609,5115;-0,0000;IS3;-753,2483;0,0000;0,0000;-126,9746;-126,9746;-0,0000;VidyutVanika;-23428,1813;0,0000;0,0000;-3949,2744;-3949,2744;-0,0000;TUC_TAC22;-4863,4079;1792,8047;1792,8047;-819,8217;-819,8217;344,5872
412;0,1940;-0,0352;-21548,5460;4645,7262;4158,5648;default broker;3565,9781;0,0000;0,0000;768,8016;768,8016;-0,0000;IS3;-878,1987;0,0000;0,0000;-189,3339;-189,3339;-0,0000;VidyutVanika;-19765,6370;0,0000;0,0000;-4261,3426;-4261,3426;-0,0000;TUC_TAC22;-4470,6884;2072,4131;2072,4131;-963,8513;-963,8513;487,1614
413;0,1215;-0,0417;-17595,1966;2446,8459;0,0000;default broker;4482,3496;0,0000;0,0000;623,3303;623,3303;-0,0000;IS3;-797,3373;0,0000;0,0000;-110,8803;-110,8803;-0,0000;VidyutVanika;-17794,6874;0,0000;0,0000;-2474,5877;-2474,5877;-0,0000;TUC_TAC22;-3485,5216;3888,1528;1999,7087;-484,7081;-67,4432;309,2725
414;0,2329;-0,0475;-16790,0444;4192,7678;3102,1944;default broker;4757,2686;0,0000;0,0000;1187,9732;1187,9732;-0,0000;IS3;-330,7388;0,0000;0,0000;-82,5913;-82,5913;-0,0000;VidyutVanika;-18242,5197;0,0000;0,0000;-4555,4762;-4555,4762;-0,0000;TUC_TAC22;-2974,0545;4156,9310;4156,9310;-742,6734;-742,6734;1090,5734
415;0,1395;-0,0391;317,7101;12,3281;-0,0000;default broker;5001,3579;0,0000;0,0000;-194,0677;194,0677;-0,0000;IS3;2079,2676;0,0000;0,0000;-80,6818;80,6818;-0,0000;VidyutVanika;-3386,4326;-1200,0000;-317,7101;131,4038;-131,4038;-12,3281;TUC_TAC22;-3376,4828;-3486,6898;0,0000;131,0177;131,0177;-0,0000
416;0,1846;-0,0452;15934,7530;466,2833;-0,0000;default broker;5304,4126;0,0000;0,0000;-155,2179;143,6118;-0,0000;IS3;4970,3864;0,0000;0,0000;-145,4436;134,5683;-0,0000;VidyutVanika;6574,8441;-1200,0000;-1200,0000;-192,3933;192,3933;-17,4327;TUC_TAC22;-914,8900;-4160,3646;0,0000;26,7715;-24,7698;-0,0000
417;0,3199;-0,0635;6668,9644;379,0723;317,4255;default broker;5096,0561;0,0000;0,0000;-289,6662;195,4521;-0,0000;IS3;7163,7970;0,0000;0,0000;-407,1992;274,7574;-0,0000;VidyutVanika;8789,3456;-1200,0000;-1200,0000;-499,5974;499,5974;-61,6467;TUC_TAC22;-14380,2343;-4506,9896;0,0000;817,3905;-551,5338;-0,0000
418;0,1793;-0,0514;19483,1543;621,9383;-0,0000;default broker;5085,6335;0,0000;0,0000;-162,3428;161,4987;-0,0000;IS3;6862,7444;0,0000;0,0000;-219,0715;217,9324;-0,0000;VidyutVanika;6916,1450;-128,6584;-128,6584;-220,7761;220,7761;-1,6169;TUC_TAC22;618,6314;-4082,6324;0,0000;-19,7479;19,6452;-0,0000
419;0,1799;-0,0393;17594,2053;381,8666;-0,0000;default broker;5291,0084;0,0000;0,0000;-114,8366;114,8331;-0,0000;IS3;7158,3430;0,0000;0,0000;-155,3655;155,3607;-0,0000;VidyutVanika;9141,3431;-1,4211;-1,4211;-198,4047;198,4047;-0,0058;TUC_TAC22;-3996,4892;-4934,2012;0,0000;86,7402;-86,7376;-0,0000
420;0,1616;-0,0386;14429,4847;348,4479;-0,0000;default broker;4806,1733;0,0000;0,0000;-116,0610;116,0518;-0,0000;IS3;6757,9690;0,0000;0,0000;-163,1936;163,1807;-0,0000;VidyutVanika;6785,6454;-1,4211;-1,4211;-163,8620;163,8620;-0,0138;TUC_TAC22;-3920,3029;-3830,2202;0,0000;94,6688;-94,6612;-0,0000
421;0,2395;-0,0562;4596,2063;237,3905;237,3236;default broker;5530,4528;0,0000;0,0000;-285,6436;285,4827;-0,0000;IS3;8838,7539;0,0000;0,0000;-456,5148;456,2576;-0,0000;VidyutVanika;3021,9541;-1,4211;-1,4211;-156,0816;156,0816;-0,0669;TUC_TAC22;-12794,9545;-2089,8617;0,0000;660,8494;-660,4771;-0,0000
422;0,2005;-0,0564;17422,9929;678,7191;678,6885;default broker;5714,2991;0,0000;0,0000;-222,6026;222,5826;-0,0000;IS3;6941,3239;0,0000;0,0000;-270,4018;270,3774;-0,0000;VidyutVanika;4637,2672;-1,4211;-1,4211;-180,6464;180,6464;-0,0306;TUC_TAC22;130,1027;-1977,8860;0,0000;-5,0682;5,0677;-0,0000
423;0,1740;-0,0504;13281,9859;493,6065;493,5725;default broker;6554,8475;0,0000;0,0000;-243,6018;243,5683;-0,0000;IS3;4740,5811;0,0000;0,0000;-176,1771;176,1529;-0,0000;VidyutVanika;3305,5604;-1,4211;-1,4211;-122,8465;122,8465;-0,0339;TUC_TAC22;-1319,0030;-373,0420;0,0000;49,0189;-49,0122;-0,0000
424;0,2247;-0,0508;5132,2049;234,1199;234,0623;default broker;6451,9103;0,0000;0,0000;-294,3219;294,3219;-0,0000;IS3;3688,7757;0,0000;0,0000;-168,2738;168,2738;-0,0000;VidyutVanika;-5063,9752;-1,4211;-1,4211;231,0074;-231,0074;-0,0575;TUC_TAC22;55,4942;-402,6033;0,0000;-2,5315;2,5315;-0,0000
425;0,1379;-0,0494;-1857,7140;259,6968;0,0000;default broker;5786,4541;0,0000;0,0000;808,9102;808,9102;-0,0000;IS3;164,9197;0,0000;0,0000;23,0547;23,0547;-0,0000;VidyutVanika;-4149,0092;1200,0000;0,0000;-580,0056;-580,0056;-0,0000;TUC_TAC22;-3660,0787;12556,0449;1857,7140;-511,6562;-511,6562;259,6968
426;0,2666;-0,0612;-3645,5734;985,3312;0,0000;default broker;4993,6454;0,0000;0,0000;1349,6902;1221,9270;-0,0000;IS3;-204,3857;0,0000;0,0000;-55,2417;-50,0124;-0,0000;VidyutVanika;-3480,2673;1200,0000;0,0000;-940,6520;-940,6520;-0,0000;TUC_TAC22;-4954,5658;9437,7574;3645,5734;-1339,1277;-1339,1277;892,0586
427;0,2673;-0,0618;-6596,6075;1806,8486;0,0000;default broker;5240,5258;0,0000;0,0000;1435,4101;1355,0436;-0,0000;IS3;-193,2777;0,0000;0,0000;-52,9399;-49,9758;-0,0000;VidyutVanika;-7017,6108;1200,0000;0,0000;-1922,1638;-1922,1638;-0,0000;TUC_TAC22;-4626,2448;11127,1139;6596,6075;-1267,1550;-1267,1550;1705,6858
428;0,2955;-0,0671;-30880,6612;10078,9394;5886,4468;default broker;5241,6022;0,0000;0,0000;1710,7727;1706,3128;-0,0000;IS3;-75,7494;0,0000;0,0000;-24,7233;-24,6589;-0,0000;VidyutVanika;-11186,4039;1200,0000;1200,0000;-3651,0580;-3651,0580;401,0017;TUC_TAC22;-24860,1102;10948,0632;10948,0632;-8113,9307;-8113,9307;3765,2156
429;0,2557;-0,0517;-28710,3875;8165,3178;5102,8607;default broker;4909,9273;0,0000;0,0000;1396,3976;1392,7419;-0,0000;IS3;-53,8601;0,0000;0,0000;-15,3180;-15,2779;-0,0000;VidyutVanika;-15513,3793;1200,0000;1200,0000;-4412,0502;-4412,0502;352,9194;TUC_TAC22;-18053,0754;8906,9057;8906,9057;-5134,3472;-5134,3472;2688,1611
430;0,1729;-0,0353;-29697,1804;6017,4830;0,0000;default broker;4655,1575;0,0000;0,0000;943,2657;941,5712;-0,0000;IS3;-29,8998;0,0000;0,0000;-6,0585;-6,0476;-0,0000;VidyutVanika;-21280,7028;291,9000;0,0000;-4312,0682;-4312,0682;-0,0000;TUC_TAC22;-13041,7353;9539,1956;9539,1956;-2642,6219;-894,9222;2114,3899
431;0,3900;-0,0428;-32010,9773;13510,2170;9376,4919;default broker;4726,1518;0,0000;0,0000;1994,6700;1993,8976;-0,0000;IS3;-80,1533;0,0000;0,0000;-33,8287;-33,8156;-0,0000;VidyutVanika;-23802,0938;290,5500;290,5500;-10045,6618;-10045,6618;126,6109;TUC_TAC22;-12854,8821;9003,6004;9003,6004;-5425,3966;-5425,3966;4001,8823
